Generated trajectory:
Group: 10 
ID: 0 
Name: forward_short_x_25 
finalTime: 1.453348  
Cost: 2.118887  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 
To: 5.000000 0.000000 2.000000 5.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.096890 0.193747 0.000000 2.000043 2.001158 0.000000 0.001837 0.000000 0.012755 0.000000 9.865023
0.193780 0.388932 0.000000 2.000641 2.037841 0.000000 0.011692 0.000000 0.073762 0.000000 9.964740
0.290670 0.590924 0.000000 2.002406 2.144188 0.000000 0.024663 0.000000 0.150710 0.000000 10.046870
0.387560 0.806857 0.000000 2.005309 2.325207 0.000000 0.034222 0.000000 0.224833 0.000000 10.123988
0.484449 1.043645 0.000000 2.008779 2.572344 0.000000 0.035912 0.000000 0.285125 0.000000 10.188798
0.581339 1.306965 0.000000 2.011980 2.870251 0.000000 0.028771 0.000000 0.329216 0.000000 10.241439
0.678229 1.600971 0.000000 2.014118 3.203098 0.000000 0.014356 0.000000 0.356903 0.000000 10.277065
0.775119 1.928239 0.000000 2.014630 3.553866 0.000000 -0.004044 0.000000 0.366374 0.000000 10.296384
0.872009 2.289664 0.000000 2.013360 3.905371 0.000000 -0.021691 0.000000 0.358269 0.000000 10.296322
0.968899 2.684460 0.000000 2.010586 4.239503 0.000000 -0.034393 0.000000 0.330668 0.000000 10.271994
1.065789 3.110008 0.000000 2.006981 4.536836 0.000000 -0.038353 0.000000 0.282757 0.000000 10.225412
1.162679 3.561733 0.000000 2.003495 4.776300 0.000000 -0.031964 0.000000 0.213762 0.000000 10.150667
1.259568 4.033089 0.000000 2.001033 4.938770 0.000000 -0.017910 0.000000 0.123744 0.000000 10.054396
1.356458 4.515408 0.000000 2.000074 5.000000 0.000000 -0.003100 0.000000 0.020652 0.000000 9.904673
1.453348 5.000000 0.000000 2.000000 5.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 9.806000
