Generated trajectory:
Group: 11 
ID: 33 
Name: backward_x_parallell_neg3_y_11 
finalTime: 2.764903  
Cost: 3.164547  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
To: -4.000000 -3.000000 2.000000 -1.000000 -0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.102404 -0.102378 -0.000066 2.000026 -1.000266 -0.003202 0.001061 0.012485 -0.005033 0.000000 9.839276
0.204808 -0.205363 -0.001895 2.000381 -1.015161 -0.042549 0.006346 0.070944 -0.028821 0.000000 9.894082
0.307211 -0.311257 -0.011146 2.001287 -1.057890 -0.150014 0.010590 0.141079 -0.058052 0.000000 9.936839
0.409615 -0.423007 -0.034978 2.002307 -1.129179 -0.326248 0.007809 0.204868 -0.085643 0.000000 9.976900
0.512019 -0.543342 -0.079919 2.002548 -1.224415 -0.559544 -0.004708 0.252819 -0.106933 0.000000 10.013398
0.614423 -0.674326 -0.150895 2.001070 -1.335749 -0.831400 -0.025128 0.280994 -0.119618 0.000000 10.045487
0.716827 -0.817182 -0.250826 1.997292 -1.454976 -1.121754 -0.048701 0.289272 -0.123893 0.000000 10.072788
0.819230 -0.972337 -0.380612 1.991191 -1.574789 -1.411388 -0.069495 0.278913 -0.120362 0.000000 10.096234
0.921634 -1.139483 -0.539253 1.983340 -1.687921 -1.682461 -0.082151 0.251855 -0.108962 0.000000 10.112424
1.024038 -1.317564 -0.724024 1.974760 -1.787291 -1.919372 -0.083320 0.211217 -0.091182 0.000000 10.123583
1.126442 -1.504868 -0.930751 1.966715 -1.867216 -2.109350 -0.071701 0.159656 -0.068934 0.000000 10.133241
1.228846 -1.699170 -1.154069 1.960474 -1.923325 -2.241836 -0.048481 0.099506 -0.043568 0.000000 10.140096
1.331249 -1.897857 -1.387665 1.957064 -1.952465 -2.309104 -0.017154 0.034125 -0.016360 0.000000 10.143096
1.433653 -2.098072 -1.624635 1.957059 -1.953016 -2.307505 0.017051 -0.032570 0.011506 0.000000 10.142138
1.536057 -2.296861 -1.857919 1.960461 -1.924669 -2.237466 0.048475 -0.097410 0.039226 0.000000 10.138209
1.638461 -2.491323 -2.080675 1.966715 -1.868960 -2.102790 0.071978 -0.157502 0.064867 0.000000 10.129869
1.740865 -2.678823 -2.286626 1.974801 -1.789401 -1.910769 0.083819 -0.209501 0.087139 0.000000 10.117772
1.843268 -2.857147 -2.470410 1.983436 -1.690600 -1.671801 0.082685 -0.250676 0.104815 0.000000 10.103444
1.945672 -3.024611 -2.627856 1.991329 -1.578363 -1.398733 0.069709 -0.278340 0.116220 0.000000 10.084977
2.048076 -3.180176 -2.756242 1.997426 -1.459341 -1.107055 0.048392 -0.289288 0.120385 0.000000 10.063109
2.150480 -3.323504 -2.854578 2.001150 -1.340567 -0.815104 0.024440 -0.280423 0.116537 0.000000 10.038239
2.252884 -3.454993 -2.923874 2.002556 -1.229387 -0.543428 0.004105 -0.250470 0.104414 0.000000 10.008509
2.355287 -3.575830 -2.967268 2.002279 -1.133977 -0.312471 -0.007925 -0.201056 0.083655 0.000000 9.971585
2.457691 -3.688042 -2.989884 2.001261 -1.061979 -0.140252 -0.010477 -0.136316 0.056965 0.000000 9.930543
2.560095 -3.794294 -2.998383 2.000370 -1.018057 -0.037696 -0.006203 -0.065928 0.027892 0.000000 9.890019
2.662499 -3.897522 -2.999950 2.000025 -1.002092 -0.002496 -0.001018 -0.010131 0.004326 0.000000 9.837869
2.764903 -4.000000 -3.000000 2.000000 -1.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
