Generated trajectory:
Group: 11 
ID: 5 
Name: horizontal_diagonal_second_quadrant_right_2_11 
finalTime: 2.516365  
Cost: 2.829540  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 
To: -2.000000 4.000000 2.000000 -0.707100 0.707100 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.100655 -0.071143 0.071199 2.000019 -0.706704 0.709450 0.000792 -0.012152 -0.001253 0.000000 9.831737
0.201309 -0.142386 0.143982 2.000280 -0.709860 0.746320 0.004735 -0.069006 -0.007086 0.000000 9.873769
0.301964 -0.214268 0.223649 2.000934 -0.719552 0.847873 0.007658 -0.136594 -0.013918 0.000000 9.907703
0.402618 -0.287456 0.316836 2.001638 -0.735702 1.013708 0.005145 -0.196760 -0.020209 0.000000 9.938659
0.503273 -0.362552 0.429458 2.001716 -0.757202 1.231209 -0.004780 -0.240057 -0.025024 0.000000 9.963139
0.603928 -0.440007 0.565782 2.000485 -0.782249 1.481238 -0.020286 -0.262584 -0.027718 0.000000 9.984424
0.704582 -0.520072 0.728039 1.997595 -0.808676 1.743017 -0.036884 -0.263780 -0.028034 0.000000 10.003582
0.805237 -0.602783 0.916379 1.993198 -0.834561 1.996258 -0.049406 -0.245034 -0.026411 0.000000 10.020186
0.905892 -0.687992 1.129003 1.987923 -0.857920 2.222757 -0.053843 -0.209550 -0.022545 0.000000 10.032137
1.006546 -0.775342 1.362431 1.982690 -0.876891 2.407360 -0.048478 -0.160772 -0.017259 0.000000 10.040049
1.107201 -0.864328 1.611807 1.978482 -0.890202 2.537817 -0.033726 -0.101620 -0.010964 0.000000 10.045080
1.207855 -0.954327 1.871188 1.976128 -0.896922 2.604981 -0.012239 -0.035784 -0.004088 0.000000 10.046758
1.308510 -1.044649 2.133931 1.976101 -0.896586 2.604278 0.011707 0.031945 0.002948 0.000000 10.045692
1.409165 -1.134584 2.393179 1.978404 -0.889304 2.535918 0.033257 0.097599 0.009612 0.000000 10.041876
1.509819 -1.223463 2.642311 1.982571 -0.875757 2.404400 0.048137 0.157181 0.015507 0.000000 10.035582
1.610474 -1.310707 2.875373 1.987777 -0.856992 2.218363 0.053636 0.206809 0.020352 0.000000 10.026529
1.711128 -1.395851 3.087470 1.993033 -0.834294 1.990175 0.049229 0.242725 0.023851 0.000000 10.014459
1.811783 -1.478578 3.275125 1.997418 -0.809220 1.735589 0.036860 0.261355 0.025554 0.000000 9.998639
1.912438 -1.558738 3.436594 2.000317 -0.783657 1.473135 0.020491 0.259981 0.025080 0.000000 9.979139
2.013092 -1.636385 3.572102 2.001580 -0.759582 1.223265 0.005188 0.236984 0.022592 0.000000 9.956659
2.113747 -1.711751 3.683978 2.001547 -0.738563 1.007014 -0.004690 0.192986 0.018585 0.000000 9.930134
2.214401 -1.785225 3.776602 2.000883 -0.722286 0.843539 -0.007330 0.132194 0.012777 0.000000 9.900875
2.315056 -1.857360 3.855976 2.000260 -0.712096 0.744867 -0.004451 0.064590 0.006320 0.000000 9.869592
2.415711 -1.928787 3.928743 2.000017 -0.708051 0.710228 -0.000723 0.009979 0.000986 0.000000 9.829552
2.516365 -2.000000 4.000000 2.000000 -0.707100 0.707100 0.000000 -0.000000 -0.000000 0.000000 9.806000
