Generated trajectory:
Group: 12 
ID: 19 
Name: rev_smooth_straightx_left_2 
finalTime: 1.802369  
Cost: 2.026799  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -2.000000 0.000000 0.000000 
To: -2.000000 -2.000000 2.000000 0.000000 -2.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100132 -0.200153 -0.000046 2.000029 -1.997480 -0.002284 0.001232 0.009107 0.002071 0.000000 9.844903
0.200263 -0.399818 -0.001324 2.000448 -1.988723 -0.030437 0.007955 0.051918 0.013209 0.000000 9.907730
0.300395 -0.597903 -0.007809 2.001697 -1.964540 -0.107691 0.017000 0.103571 0.032862 0.000000 9.952883
0.400527 -0.792477 -0.024560 2.003798 -1.917511 -0.234715 0.024460 0.150331 0.059011 0.000000 9.994347
0.500658 -0.980991 -0.056197 2.006467 -1.843006 -0.403087 0.028129 0.185671 0.088523 0.000000 10.031696
0.600790 -1.160565 -0.106258 2.009275 -1.738664 -0.600617 0.027148 0.208421 0.119913 0.000000 10.061615
0.700921 -1.328163 -0.177020 2.011752 -1.603855 -0.814346 0.021628 0.217872 0.150967 0.000000 10.081264
0.801053 -1.480768 -0.269443 2.013481 -1.439458 -1.031183 0.012378 0.214847 0.180244 0.000000 10.091758
0.901185 -1.615552 -0.383252 2.014156 -1.248791 -1.239838 0.000901 0.201872 0.203741 0.000000 10.097230
1.001316 -1.730219 -0.517172 2.013654 -1.039132 -1.431596 -0.010817 0.181321 0.217930 0.000000 10.094534
1.101448 -1.823344 -0.669146 2.012042 -0.820284 -1.599408 -0.020923 0.154728 0.221268 0.000000 10.084596
1.201580 -1.894567 -0.836516 2.009588 -0.603755 -1.738579 -0.027375 0.124998 0.211995 0.000000 10.066648
1.301711 -1.944772 -1.016283 2.006719 -0.402794 -1.846777 -0.029055 0.093978 0.189065 0.000000 10.038959
1.401843 -1.976228 -1.205321 2.003949 -0.231675 -1.923964 -0.025436 0.064058 0.151790 0.000000 10.001995
1.501974 -1.992631 -1.400606 2.001766 -0.104172 -1.972022 -0.017645 0.036813 0.102782 0.000000 9.956910
1.602106 -1.998817 -1.599423 2.000468 -0.028159 -1.995541 -0.008294 0.015555 0.050079 0.000000 9.910286
1.702238 -1.999963 -1.799647 2.000031 -0.001875 -2.001455 -0.001286 0.002273 0.007766 0.000000 9.846471
1.802369 -2.000000 -2.000000 2.000000 0.000000 -2.000000 0.000000 -0.000000 -0.000000 0.000000 9.806000
