Generated trajectory:
Group: 12 
ID: 4 
Name: smooth_revxrevy_left_2 
finalTime: 1.466448  
Cost: 1.951533  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.414200 -1.414200 0.000000 
To: -0.000000 -2.000000 2.000000 1.414200 -1.414200 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.414200 -1.414200 0.000000 0.000000 0.000000 0.000000 9.806000
0.112804 -0.159328 -0.159417 2.000079 -1.407820 -1.411719 0.002845 -0.003123 0.016874 0.000000 9.884106
0.225607 -0.315573 -0.318126 2.001129 -1.347420 -1.399653 0.017273 -0.016159 0.095015 0.000000 10.007694
0.338411 -0.459479 -0.474654 2.004012 -1.186824 -1.373817 0.032984 -0.025254 0.185714 0.000000 10.092879
0.451215 -0.579660 -0.627859 2.008220 -0.929078 -1.342391 0.039539 -0.025720 0.264492 0.000000 10.163271
0.564019 -0.666158 -0.777650 2.012414 -0.593735 -1.314766 0.032501 -0.018367 0.322140 0.000000 10.211072
0.676822 -0.711739 -0.924973 2.015096 -0.208695 -1.300059 0.013524 -0.004016 0.353244 0.000000 10.235046
0.789626 -0.712532 -1.071601 2.015265 0.195155 -1.302372 -0.010708 0.010194 0.356413 0.000000 10.237838
0.902430 -0.668208 -1.219362 2.012814 0.585756 -1.319658 -0.031406 0.021905 0.330181 0.000000 10.218945
1.015233 -0.582124 -1.369766 2.008617 0.929974 -1.348501 -0.040638 0.029783 0.274301 0.000000 10.175330
1.128037 -0.461408 -1.523751 2.004222 1.194548 -1.381368 -0.034821 0.028537 0.191412 0.000000 10.108120
1.240841 -0.316518 -1.681112 2.001179 1.356122 -1.406354 -0.018145 0.016790 0.095677 0.000000 10.018572
1.353645 -0.159527 -1.840399 2.000082 1.411751 -1.415056 -0.002950 0.002724 0.014869 0.000000 9.886721
1.466448 -0.000000 -2.000000 2.000000 1.414200 -1.414200 0.000000 0.000000 -0.000000 0.000000 9.806000
