Generated trajectory:
Group: 12 
ID: 6 
Name: smooth_revxfwdy_left_2 
finalTime: 1.453154  
Cost: 1.931376  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.414200 1.414200 0.000000 
To: -2.000000 0.000000 2.000000 -1.414200 -1.414200 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.414200 1.414200 0.000000 0.000000 0.000000 0.000000 9.806000
0.111781 -0.157977 0.157884 2.000077 -1.411926 1.407850 0.002819 0.016958 0.002470 0.000000 9.884083
0.223562 -0.315367 0.312730 2.001113 -1.402143 1.347763 0.017268 0.095389 0.012797 0.000000 10.011670
0.335343 -0.471037 0.455397 2.003996 -1.381861 1.187624 0.033483 0.186971 0.019628 0.000000 10.099296
0.447124 -0.624185 0.574588 2.008240 -1.358458 0.929970 0.040337 0.266900 0.019016 0.000000 10.170472
0.558905 -0.774878 0.660374 2.012492 -1.338806 0.594005 0.033330 0.325772 0.013392 0.000000 10.218373
0.670686 -0.923839 0.705515 2.015210 -1.328385 0.207948 0.013695 0.357280 0.002656 0.000000 10.241083
0.782467 -1.072319 0.706179 2.015362 -1.330320 -0.196425 -0.011087 0.359582 -0.008957 0.000000 10.244768
0.894248 -1.221695 0.662128 2.012879 -1.344161 -0.586692 -0.031977 0.332488 -0.019048 0.000000 10.223606
1.006029 -1.373155 0.576759 2.008649 -1.366777 -0.930170 -0.041254 0.275923 -0.024129 0.000000 10.180367
1.117810 -1.527312 0.457154 2.004246 -1.390951 -1.194118 -0.035090 0.192662 -0.021369 0.000000 10.111227
1.229592 -1.683886 0.313630 2.001197 -1.408923 -1.355768 -0.018491 0.096934 -0.012826 0.000000 10.020920
1.341373 -1.841843 0.158080 2.000083 -1.415208 -1.411723 -0.003036 0.015068 -0.002128 0.000000 9.889749
1.453154 -2.000000 0.000000 2.000000 -1.414200 -1.414200 -0.000000 -0.000000 -0.000000 0.000000 9.806000
