Generated trajectory:
Group: 1 
ID: 2 
Name: backward_short_y 
finalTime: 1.932002  
Cost: 2.240263  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 -1.000000 2.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.096600 0.000000 -0.000060 2.000012 0.000000 -0.003045 0.000569 0.012610 0.000000 0.000000 9.825804
0.193200 0.000000 -0.001695 2.000189 0.000000 -0.040221 0.003220 0.070684 0.000000 0.000000 9.857662
0.289800 0.000000 -0.009840 2.000572 0.000000 -0.138589 0.004026 0.134743 0.000000 0.000000 9.880857
0.386400 0.000000 -0.030247 2.000799 0.000000 -0.291757 -0.000228 0.184274 0.000000 0.000000 9.902675
0.483000 0.000000 -0.067367 2.000381 0.000000 -0.480749 -0.008944 0.209420 0.000000 0.000000 9.921216
0.579600 0.000000 -0.123484 1.999047 0.000000 -0.680795 -0.018390 0.207539 0.000000 0.000000 9.934997
0.676201 0.000000 -0.198443 1.996957 0.000000 -0.866872 -0.023873 0.180307 0.000000 0.000000 9.944461
0.772801 0.000000 -0.289810 1.994664 0.000000 -1.017258 -0.022297 0.132939 0.000000 0.000000 9.951356
0.869401 0.000000 -0.393264 1.992892 0.000000 -1.114605 -0.013309 0.070057 0.000000 0.000000 9.954540
0.966001 0.000000 -0.503052 1.992240 0.000000 -1.147048 0.000206 -0.000823 0.000000 0.000000 9.955084
1.062601 0.000000 -0.612665 1.992933 0.000000 -1.111143 0.013731 -0.070848 0.000000 0.000000 9.954627
1.159201 0.000000 -0.715660 1.994741 0.000000 -1.011310 0.022594 -0.133289 0.000000 0.000000 9.949941
1.255801 0.000000 -0.806334 1.997051 0.000000 -0.858411 0.023909 -0.181416 0.000000 0.000000 9.942922
1.352401 0.000000 -0.880358 1.999128 0.000000 -0.670063 0.018118 -0.207872 0.000000 0.000000 9.933317
1.449001 0.000000 -0.935389 2.000428 0.000000 -0.469304 0.008560 -0.208311 0.000000 0.000000 9.918794
1.545601 0.000000 -0.971440 2.000813 0.000000 -0.281347 -0.000083 -0.181730 0.000000 0.000000 9.899592
1.642201 0.000000 -0.990958 2.000564 0.000000 -0.130847 -0.004133 -0.131014 0.000000 0.000000 9.878393
1.738801 0.000000 -0.998528 2.000181 0.000000 -0.036168 -0.003141 -0.066477 0.000000 0.000000 9.855593
1.835401 0.000000 -0.999954 2.000012 0.000000 -0.002427 -0.000534 -0.010438 0.000000 0.000000 9.824603
1.932002 0.000000 -1.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
