Generated trajectory:
Group: 3 
ID: 0 
Name: forward_short_x_01 
finalTime: 1.510164  
Cost: 1.651578  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 1.000000 0.000000 2.000000 1.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100678 0.000063 0.000000 2.000018 0.003084 0.000000 0.000789 0.000000 0.012253 0.000000 9.831635
0.201355 0.001786 0.000000 2.000278 0.040535 0.000000 0.004691 0.000000 0.067691 0.000000 9.872222
0.302033 0.010252 0.000000 2.000933 0.137129 0.000000 0.007841 0.000000 0.124863 0.000000 9.898594
0.402710 0.031064 0.000000 2.001725 0.283064 0.000000 0.007129 0.000000 0.165680 0.000000 9.912857
0.503388 0.068208 0.000000 2.002233 0.457512 0.000000 0.002477 0.000000 0.182423 0.000000 9.912763
0.604066 0.123346 0.000000 2.002177 0.636766 0.000000 -0.003534 0.000000 0.176253 0.000000 9.904974
0.704743 0.195841 0.000000 2.001590 0.798778 0.000000 -0.007532 0.000000 0.148673 0.000000 9.895085
0.805421 0.282993 0.000000 2.000797 0.925625 0.000000 -0.007581 0.000000 0.107158 0.000000 9.880496
0.906098 0.380730 0.000000 2.000160 1.008345 0.000000 -0.004805 0.000000 0.061471 0.000000 9.858896
1.006776 0.484533 0.000000 1.999845 1.046775 0.000000 -0.001536 0.000000 0.019546 0.000000 9.837082
1.107453 0.590288 0.000000 1.999810 1.049271 0.000000 0.000569 0.000000 -0.009507 0.000000 9.819356
1.208131 0.695151 0.000000 1.999902 1.032126 0.000000 0.000993 0.000000 -0.020291 0.000000 9.805743
1.308809 0.798010 0.000000 1.999975 1.011894 0.000000 0.000411 0.000000 -0.016172 0.000000 9.802213
1.409486 0.899258 0.000000 1.999996 1.001710 0.000000 0.000089 0.000000 -0.002901 0.000000 9.805167
1.510164 1.000000 0.000000 2.000000 1.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
