Generated trajectory:
Group: 3 
ID: 1 
Name: forward_short_y_01 
finalTime: 1.499197  
Cost: 1.640633  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 1.000000 2.000000 0.000000 1.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099946 0.000000 0.000064 2.000022 0.000000 0.003146 0.000944 -0.012575 0.000000 0.000000 9.836464
0.199893 0.000000 0.001807 2.000328 0.000000 0.041289 0.005509 -0.069407 0.000000 0.000000 9.879809
0.299839 0.000000 0.010371 2.001079 0.000000 0.139780 0.008938 -0.128256 0.000000 0.000000 9.902433
0.399786 0.000000 0.031431 2.001963 0.000000 0.288462 0.007909 -0.169790 0.000000 0.000000 9.914353
0.499732 0.000000 0.068981 2.002517 0.000000 0.465550 0.002681 -0.186167 0.000000 0.000000 9.913205
0.599679 0.000000 0.124625 2.002454 0.000000 0.646716 -0.003838 -0.179048 0.000000 0.000000 9.905799
0.699625 0.000000 0.197644 2.001828 0.000000 0.809686 -0.008062 -0.150174 0.000000 0.000000 9.895779
0.799572 0.000000 0.285252 2.000983 0.000000 0.936288 -0.008191 -0.107063 0.000000 0.000000 9.880464
0.899518 0.000000 0.383284 2.000291 0.000000 1.017644 -0.005354 -0.060090 0.000000 0.000000 9.859463
0.999464 0.000000 0.487161 1.999931 0.000000 1.053939 -0.001949 -0.017247 0.000000 0.000000 9.838220
1.099411 0.000000 0.592741 1.999861 0.000000 1.053958 0.000271 0.012095 0.000000 0.000000 9.820709
1.199357 0.000000 0.697192 1.999926 0.000000 1.034495 0.000784 0.022574 0.000000 0.000000 9.807020
1.299304 0.000000 0.799449 1.999982 0.000000 1.012576 0.000289 0.017521 0.000000 0.000000 9.803427
1.399250 0.000000 0.899989 1.999997 0.000000 1.001748 0.000067 0.003114 0.000000 0.000000 9.805815
1.499197 0.000000 1.000000 2.000000 0.000000 1.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
