Generated trajectory:
Group: 4 
ID: 19 
Name: vertical_rev_y_up_z_0-11_000 
finalTime: 2.260539  
Cost: 2.544327  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -0.707100 0.707100 
To: 0.000000 -1.000000 3.000000 0.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 9.806000
0.132973 0.000000 -0.093966 2.094036 0.000000 -0.706274 0.707498 0.000338 0.000000 0.000000 9.816783
0.265946 0.000000 -0.187883 2.188231 0.000000 -0.706582 0.709189 0.001550 0.000000 0.000000 9.813624
0.398919 0.000000 -0.281923 2.282497 0.000000 -0.707817 0.707775 0.001449 0.000000 0.000000 9.774624
0.531892 0.000000 -0.376052 2.376166 0.000000 -0.707367 0.699727 -0.001266 0.000000 0.000000 9.714042
0.664864 0.000000 -0.469780 2.468174 0.000000 -0.700936 0.682416 -0.007997 0.000000 0.000000 9.637008
0.797837 0.000000 -0.561965 2.557161 0.000000 -0.683279 0.654042 -0.018932 0.000000 0.000000 9.549771
0.930810 0.000000 -0.650782 2.641569 0.000000 -0.649578 0.613450 -0.033540 0.000000 0.000000 9.460047
1.063783 0.000000 -0.733848 2.719758 0.000000 -0.596359 0.560529 -0.050379 0.000000 0.000000 9.374835
1.196756 0.000000 -0.808466 2.790113 0.000000 -0.522613 0.495792 -0.067030 0.000000 0.000000 9.299592
1.329729 0.000000 -0.872027 2.851161 0.000000 -0.430799 0.420926 -0.080139 0.000000 0.000000 9.241992
1.462702 0.000000 -0.922529 2.901742 0.000000 -0.327662 0.339007 -0.086014 0.000000 0.000000 9.208313
1.595675 0.000000 -0.959109 2.941199 0.000000 -0.223263 0.254450 -0.082462 0.000000 0.000000 9.205548
1.728647 0.000000 -0.982384 2.969540 0.000000 -0.129643 0.172790 -0.068421 0.000000 0.000000 9.239631
1.861620 0.000000 -0.994575 2.987546 0.000000 -0.058152 0.100076 -0.046497 0.000000 0.000000 9.320479
1.994593 0.000000 -0.999137 2.996833 0.000000 -0.015511 0.042499 -0.021941 0.000000 0.000000 9.442857
2.127566 0.000000 -0.999973 2.999777 0.000000 -0.001025 0.006616 -0.003264 0.000000 0.000000 9.658564
2.260539 0.000000 -1.000000 3.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
