Generated trajectory:
Group: 4 
ID: 26 
Name: vertical_fwd_x_fwd_y_up_z_111_111 
finalTime: 1.660638  
Cost: 1.692754  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.577400 0.577400 0.577400 
To: 1.000000 1.000000 3.000000 0.577400 0.577400 0.577400 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.577400 0.577400 0.577400 0.000000 0.000000 0.000000 9.806000
0.097685 0.056380 0.056380 2.056425 0.577053 0.577058 0.578365 -0.000906 0.000886 0.000000 9.837428
0.195369 0.112818 0.112820 2.113153 0.579127 0.579181 0.583767 -0.004991 0.004918 0.000000 9.879713
0.293054 0.169663 0.169674 2.170555 0.585404 0.585517 0.591758 -0.009133 0.009095 0.000000 9.896466
0.390738 0.227301 0.227324 2.228798 0.595133 0.595248 0.600759 -0.011889 0.011926 0.000000 9.900784
0.488423 0.285992 0.286023 2.287916 0.606644 0.606690 0.609488 -0.012647 0.012749 0.000000 9.892508
0.586107 0.345812 0.345843 2.347831 0.617906 0.617840 0.616948 -0.011359 0.011481 0.000000 9.875043
0.683792 0.406641 0.406659 2.408383 0.626984 0.626814 0.622403 -0.008277 0.008361 0.000000 9.850991
0.781477 0.468185 0.468184 2.469348 0.632368 0.632159 0.625349 -0.003959 0.003956 0.000000 9.822742
0.879161 0.530034 0.530015 2.530464 0.633129 0.632964 0.625469 0.001029 -0.001111 0.000000 9.793116
0.976846 0.591722 0.591691 2.591452 0.629105 0.629038 0.622742 0.005798 -0.005913 0.000000 9.764895
1.074530 0.652807 0.652774 2.652042 0.620957 0.620992 0.617371 0.009576 -0.009669 0.000000 9.740452
1.172215 0.712948 0.712922 2.711998 0.610074 0.610174 0.609866 0.011582 -0.011623 0.000000 9.722709
1.269899 0.771970 0.771955 2.771148 0.598390 0.598500 0.601034 0.011365 -0.011349 0.000000 9.713969
1.367584 0.829902 0.829896 2.829412 0.588121 0.588195 0.591942 0.008800 -0.008747 0.000000 9.717590
1.465269 0.886977 0.886976 2.886830 0.581098 0.581121 0.583904 0.004705 -0.004660 0.000000 9.733654
1.562953 0.943566 0.943566 2.943569 0.578139 0.578141 0.578465 0.000753 -0.000747 0.000000 9.775107
1.660638 1.000000 1.000000 3.000000 0.577400 0.577400 0.577400 0.000000 -0.000000 0.000000 9.806000
