Generated trajectory:
Group: 4 
ID: 39 
Name: vertical_rev_x_fwd_y_down_z_000_-11-1 
finalTime: 2.399343  
Cost: 2.707453  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 1.000000 1.000000 -0.577400 0.577400 -0.577400 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.104319 -0.000016 0.000016 1.999891 -0.000737 0.000739 -0.004101 -0.002857 -0.002853 0.000000 9.689911
0.208638 -0.000442 0.000442 1.998455 -0.009765 0.009766 -0.026552 -0.016778 -0.016779 0.000000 9.513246
0.312958 -0.002639 0.002641 1.993853 -0.035406 0.035440 -0.063716 -0.035682 -0.035627 0.000000 9.405208
0.417277 -0.008474 0.008485 1.984769 -0.079464 0.079626 -0.112164 -0.054672 -0.054564 0.000000 9.321959
0.521596 -0.019793 0.019832 1.970133 -0.139964 0.140371 -0.169708 -0.070235 -0.070091 0.000000 9.267059
0.625915 -0.038098 0.038198 1.949162 -0.212588 0.213345 -0.232978 -0.080491 -0.080356 0.000000 9.244656
0.730235 -0.064378 0.064576 1.921458 -0.291807 0.292942 -0.298192 -0.084083 -0.084008 0.000000 9.248325
0.834554 -0.098979 0.099312 1.886997 -0.371005 0.372439 -0.362010 -0.080381 -0.080408 0.000000 9.270732
0.938873 -0.141576 0.142067 1.846075 -0.444282 0.445836 -0.421647 -0.071399 -0.071574 0.000000 9.309967
1.043192 -0.191318 0.191968 1.799247 -0.507395 0.508834 -0.474962 -0.058615 -0.058951 0.000000 9.362776
1.147512 -0.246981 0.247765 1.747244 -0.557426 0.558543 -0.520692 -0.043904 -0.044354 0.000000 9.425351
1.251831 -0.307125 0.308003 1.690898 -0.593328 0.593981 -0.558154 -0.029344 -0.029880 0.000000 9.497094
1.356150 -0.370305 0.371222 1.631094 -0.615838 0.615928 -0.586958 -0.016418 -0.017019 0.000000 9.574581
1.460469 -0.435208 0.436103 1.568732 -0.626735 0.626217 -0.607275 -0.005868 -0.006470 0.000000 9.650973
1.564789 -0.500748 0.501558 1.504666 -0.628487 0.627402 -0.619745 0.001715 0.001212 0.000000 9.722412
1.669108 -0.566114 0.566787 1.439677 -0.623863 0.622359 -0.625105 0.006488 0.006178 0.000000 9.787047
1.773427 -0.630773 0.631277 1.374462 -0.615291 0.613595 -0.624235 0.009037 0.008974 0.000000 9.842239
1.877746 -0.694420 0.694749 1.309616 -0.604801 0.603177 -0.618233 0.009642 0.009841 0.000000 9.885723
1.982066 -0.756962 0.757136 1.245606 -0.594437 0.593141 -0.608499 0.008303 0.008727 0.000000 9.912276
2.086385 -0.818510 0.818575 1.182717 -0.585987 0.585206 -0.597125 0.005720 0.006261 0.000000 9.915973
2.190704 -0.879324 0.879336 1.120998 -0.580475 0.580213 -0.586412 0.002759 0.003169 0.000000 9.900850
2.295023 -0.939732 0.939732 1.060269 -0.578128 0.578109 -0.578798 0.000422 0.000497 0.000000 9.848000
2.399343 -1.000000 1.000000 1.000000 -0.577400 0.577400 -0.577400 0.000000 -0.000000 0.000000 9.806000
