Generated trajectory:
Group: 5 
ID: 25 
Name: fwd_smooth_straightx_downz 
finalTime: 1.931935  
Cost: 2.379027  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 
To: 1.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.107330 0.107265 0.000000 1.999877 0.998599 0.000000 -0.004521 0.000000 -0.001236 0.000000 9.681445
0.214659 0.214223 0.000000 1.998243 0.993340 0.000000 -0.029432 0.000000 -0.007940 0.000000 9.485455
0.321989 0.320151 0.000000 1.992961 0.978516 0.000000 -0.071500 0.000000 -0.020234 0.000000 9.347271
0.429319 0.423746 0.000000 1.982383 0.949069 0.000000 -0.127782 0.000000 -0.037502 0.000000 9.230522
0.536648 0.523222 0.000000 1.965118 0.901366 0.000000 -0.195651 0.000000 -0.057574 0.000000 9.143150
0.643978 0.616534 0.000000 1.940057 0.834219 0.000000 -0.272672 0.000000 -0.077781 0.000000 9.081240
0.751308 0.701644 0.000000 1.906346 0.748949 0.000000 -0.356418 0.000000 -0.095437 0.000000 9.044032
0.858638 0.776780 0.000000 1.863400 0.649135 0.000000 -0.444302 0.000000 -0.108275 0.000000 9.029906
0.965967 0.840655 0.000000 1.810924 0.540078 0.000000 -0.533529 0.000000 -0.114724 0.000000 9.037474
1.073297 0.892609 0.000000 1.748930 0.428117 0.000000 -0.621175 0.000000 -0.114049 0.000000 9.065301
1.180627 0.932689 0.000000 1.677743 0.319909 0.000000 -0.704375 0.000000 -0.106371 0.000000 9.111975
1.287956 0.961640 0.000000 1.597981 0.221728 0.000000 -0.780543 0.000000 -0.092595 0.000000 9.176036
1.395286 0.980834 0.000000 1.510520 0.138840 0.000000 -0.847536 0.000000 -0.074260 0.000000 9.256203
1.502616 0.992125 0.000000 1.416437 0.074939 0.000000 -0.903716 0.000000 -0.053414 0.000000 9.350630
1.609945 0.997662 0.000000 1.316958 0.031686 0.000000 -0.947898 0.000000 -0.032482 0.000000 9.459519
1.717275 0.999635 0.000000 1.213426 0.008148 0.000000 -0.979198 0.000000 -0.014242 0.000000 9.575409
1.824605 0.999989 0.000000 1.107243 0.000539 0.000000 -0.996838 0.000000 -0.002104 0.000000 9.719432
1.931935 1.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 0.000000 -0.000000 0.000000 9.806000
