Generated trajectory:
Group: 5 
ID: 28 
Name: fwd_smooth_straighty_upz 
finalTime: 1.943696  
Cost: 2.444046  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 
To: 0.000000 1.000000 3.000000 0.000000 -0.000000 1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.107983 0.000000 0.107908 2.000120 0.000000 0.998144 0.004497 0.002850 0.000000 0.000000 9.932760
0.215966 0.000000 0.215248 2.001781 0.000000 0.987536 0.029871 0.015757 0.000000 0.000000 10.133854
0.323949 0.000000 0.320605 2.007188 0.000000 0.961136 0.072841 0.030081 0.000000 0.000000 10.279890
0.431932 0.000000 0.422249 2.018039 0.000000 0.918911 0.130334 0.043324 0.000000 0.000000 10.406961
0.539916 0.000000 0.518559 2.035744 0.000000 0.862768 0.199156 0.054227 0.000000 0.000000 10.500169
0.647899 0.000000 0.608133 2.061330 0.000000 0.794281 0.275831 0.064374 0.000000 0.000000 10.567794
0.755882 0.000000 0.689719 2.095516 0.000000 0.715351 0.358074 0.071925 0.000000 0.000000 10.613550
0.863865 0.000000 0.762345 2.138769 0.000000 0.628645 0.443320 0.077791 0.000000 0.000000 10.634728
0.971848 0.000000 0.825285 2.191281 0.000000 0.536398 0.529194 0.081543 0.000000 0.000000 10.632607
1.079831 0.000000 0.878088 2.252993 0.000000 0.441321 0.613322 0.083241 0.000000 0.000000 10.607609
1.187814 0.000000 0.920573 2.323597 0.000000 0.345656 0.693531 0.083129 0.000000 0.000000 10.561043
1.295797 0.000000 0.952833 2.402560 0.000000 0.252676 0.767893 0.079326 0.000000 0.000000 10.497626
1.403780 0.000000 0.975411 2.489183 0.000000 0.167214 0.835164 0.070761 0.000000 0.000000 10.417589
1.511764 0.000000 0.989445 2.582610 0.000000 0.095579 0.893614 0.056205 0.000000 0.000000 10.317740
1.619747 0.000000 0.996738 2.681787 0.000000 0.042905 0.941317 0.038356 0.000000 0.000000 10.199066
1.727730 0.000000 0.999480 2.785441 0.000000 0.011522 0.976281 0.018804 0.000000 0.000000 10.070369
1.835713 0.000000 0.999984 2.892111 0.000000 0.000755 0.996466 0.002896 0.000000 0.000000 9.906005
1.943696 0.000000 1.000000 3.000000 0.000000 -0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
