Generated trajectory:
Group: 5 
ID: 29 
Name: fwd_smooth_straighty_downz 
finalTime: 1.931635  
Cost: 2.378367  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 
To: 0.000000 1.000000 1.000000 0.000000 0.000000 -1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.107313 0.000000 0.107248 1.999877 0.000000 0.998607 -0.004521 0.001203 0.000000 0.000000 9.681428
0.214626 0.000000 0.214196 1.998243 0.000000 0.993492 -0.029455 0.007613 0.000000 0.000000 9.484721
0.321939 0.000000 0.320153 1.992955 0.000000 0.979298 -0.071561 0.019409 0.000000 0.000000 9.347960
0.429252 0.000000 0.423856 1.982382 0.000000 0.950555 -0.127661 0.036943 0.000000 0.000000 9.231315
0.536565 0.000000 0.523506 1.965134 0.000000 0.903424 -0.195533 0.056965 0.000000 0.000000 9.142445
0.643878 0.000000 0.617055 1.940089 0.000000 0.836799 -0.272548 0.077412 0.000000 0.000000 9.081034
0.751191 0.000000 0.702439 1.906397 0.000000 0.751636 -0.356299 0.095683 0.000000 0.000000 9.043734
0.858504 0.000000 0.777824 1.863467 0.000000 0.651138 -0.444272 0.109482 0.000000 0.000000 9.029765
0.965817 0.000000 0.841830 1.810994 0.000000 0.540630 -0.533651 0.116405 0.000000 0.000000 9.037537
1.073130 0.000000 0.893754 1.748988 0.000000 0.427232 -0.621446 0.115315 0.000000 0.000000 9.065394
1.180443 0.000000 0.933675 1.677778 0.000000 0.317995 -0.704728 0.107297 0.000000 0.000000 9.112343
1.287756 0.000000 0.962374 1.597990 0.000000 0.219073 -0.780920 0.093170 0.000000 0.000000 9.176204
1.395069 0.000000 0.981262 1.510502 0.000000 0.136002 -0.847897 0.073976 0.000000 0.000000 9.256958
1.502382 0.000000 0.992285 1.416403 0.000000 0.072987 -0.903903 0.052054 0.000000 0.000000 9.351214
1.609695 0.000000 0.997687 1.316924 0.000000 0.031084 -0.948023 0.031415 0.000000 0.000000 9.459485
1.717008 0.000000 0.999635 1.213397 0.000000 0.008130 -0.979266 0.014108 0.000000 0.000000 9.575978
1.824322 0.000000 0.999989 1.107227 0.000000 0.000540 -0.996850 0.002109 0.000000 0.000000 9.719737
1.931635 0.000000 1.000000 1.000000 0.000000 0.000000 -1.000000 -0.000000 0.000000 0.000000 9.806000
