Generated trajectory:
Group: 6 
ID: 4 
Name: up_down_smooth_fwdxrevy_upz_fwdxrevy_downz 
finalTime: 1.896912  
Cost: 2.546962  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.577400 -0.577400 0.577400 
To: 1.000000 -1.000000 2.000000 0.577400 -0.577400 -0.577400 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.577400 -0.577400 0.577400 0.000000 0.000000 0.000000 9.806000
0.105384 0.060809 -0.060809 2.060726 0.576438 -0.576428 0.572797 -0.001395 -0.001354 0.000000 9.676774
0.210768 0.121357 -0.121351 2.119936 0.571571 -0.571462 0.547243 -0.007884 -0.007750 0.000000 9.468661
0.316152 0.181020 -0.180997 2.175434 0.559517 -0.559315 0.503248 -0.015321 -0.015279 0.000000 9.312873
0.421536 0.239061 -0.239015 2.225441 0.541146 -0.540910 0.443336 -0.020839 -0.020804 0.000000 9.174761
0.526920 0.294952 -0.294879 2.268412 0.519246 -0.518975 0.370214 -0.023051 -0.023030 0.000000 9.063428
0.632304 0.348499 -0.348397 2.303101 0.497275 -0.497003 0.286586 -0.021402 -0.021442 0.000000 8.976193
0.737688 0.399885 -0.399758 2.328545 0.478801 -0.478606 0.195252 -0.015995 -0.016119 0.000000 8.914263
0.843072 0.449644 -0.449503 2.344077 0.466809 -0.466747 0.098892 -0.007891 -0.008045 0.000000 8.877093
0.948456 0.498570 -0.498430 2.349302 0.463210 -0.463297 0.000053 0.001663 0.001503 0.000000 8.864756
1.053840 0.547591 -0.547468 2.344087 0.468591 -0.468814 -0.098808 0.011031 0.010905 0.000000 8.877243
1.159224 0.597622 -0.597528 2.328562 0.482133 -0.482445 -0.195216 0.018707 0.018647 0.000000 8.914516
1.264608 0.649420 -0.649361 2.303118 0.501665 -0.502000 -0.286605 0.023299 0.023333 0.000000 8.976572
1.369992 0.703459 -0.703431 2.268427 0.524093 -0.524329 -0.370261 0.024209 0.024374 0.000000 9.063696
1.475376 0.759859 -0.759848 2.225449 0.545854 -0.545965 -0.443403 0.021396 0.021491 0.000000 9.175094
1.580760 0.818359 -0.818356 2.175437 0.563408 -0.563449 -0.503278 0.015309 0.015367 0.000000 9.313248
1.686144 0.878369 -0.878369 2.119937 0.574240 -0.574249 -0.547252 0.007632 0.007645 0.000000 9.468742
1.791528 0.939125 -0.939125 2.060726 0.577711 -0.577712 -0.572798 0.001183 0.001187 0.000000 9.676804
1.896912 1.000000 -1.000000 2.000000 0.577400 -0.577400 -0.577400 -0.000000 0.000000 0.000000 9.806000
