Generated trajectory:
Group: 6 
ID: 8 
Name: up_down_smooth_fwdx_upz_fwdx_downz 
finalTime: 2.105311  
Cost: 2.818407  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 0.000000 0.707100 
To: 1.000000 0.000000 2.000000 0.707100 0.000000 -0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 0.000000 0.707100 0.000000 0.000000 0.000000 9.806000
0.100253 0.070831 0.000000 2.070786 0.705290 0.000000 0.703056 0.000000 -0.004440 0.000000 9.686837
0.200506 0.141003 0.000000 2.140302 0.691213 0.000000 0.680470 0.000000 -0.025606 0.000000 9.492760
0.300759 0.208636 0.000000 2.206665 0.653984 0.000000 0.640777 0.000000 -0.051944 0.000000 9.343398
0.401012 0.271352 0.000000 2.268252 0.593619 0.000000 0.585336 0.000000 -0.075832 0.000000 9.206582
0.501264 0.327062 0.000000 2.323562 0.515484 0.000000 0.515943 0.000000 -0.092010 0.000000 9.091128
0.601517 0.374408 0.000000 2.371316 0.428366 0.000000 0.435052 0.000000 -0.097531 0.000000 8.994284
0.701770 0.412997 0.000000 2.410502 0.342568 0.000000 0.345489 0.000000 -0.091097 0.000000 8.916783
0.802023 0.443478 0.000000 2.440396 0.268198 0.000000 0.250119 0.000000 -0.073634 0.000000 8.858732
0.902276 0.467448 0.000000 2.460538 0.213984 0.000000 0.151307 0.000000 -0.047015 0.000000 8.819804
1.002529 0.487270 0.000000 2.470676 0.186220 0.000000 0.050772 0.000000 -0.014775 0.000000 8.800406
1.102782 0.505781 0.000000 2.470700 0.188112 0.000000 -0.050306 0.000000 0.019447 0.000000 8.800444
1.203035 0.525976 0.000000 2.460604 0.219466 0.000000 -0.150965 0.000000 0.051310 0.000000 8.819948
1.303288 0.550652 0.000000 2.440485 0.276651 0.000000 -0.249986 0.000000 0.077058 0.000000 8.858567
1.403540 0.582085 0.000000 2.410593 0.352895 0.000000 -0.345589 0.000000 0.093287 0.000000 8.916793
1.503793 0.621753 0.000000 2.371391 0.439375 0.000000 -0.435267 0.000000 0.098640 0.000000 8.994504
1.604046 0.670191 0.000000 2.323611 0.526096 0.000000 -0.516204 0.000000 0.092162 0.000000 9.091274
1.704299 0.726903 0.000000 2.268277 0.602830 0.000000 -0.585544 0.000000 0.075096 0.000000 9.206931
1.804552 0.790435 0.000000 2.206674 0.660941 0.000000 -0.640892 0.000000 0.050629 0.000000 9.343678
1.904805 0.858632 0.000000 2.140304 0.695459 0.000000 -0.680508 0.000000 0.024123 0.000000 9.492992
2.005058 0.929093 0.000000 2.070786 0.706925 0.000000 -0.703060 0.000000 0.003698 0.000000 9.686932
2.105311 1.000000 0.000000 2.000000 0.707100 0.000000 -0.707100 0.000000 0.000000 0.000000 9.806000
