Generated trajectory:
Group: 7 
ID: 2 
Name: smooth_up_revx 
finalTime: 1.931068  
Cost: 2.377741  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 
To: -1.000000 0.000000 3.000000 -1.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
0.107282 -0.000014 0.000000 2.107195 -0.000625 0.000000 0.996849 0.000000 -0.002346 0.000000 9.719709
0.214563 -0.000388 0.000000 2.213335 -0.008393 0.000000 0.979272 0.000000 -0.014146 0.000000 9.576122
0.321845 -0.002368 0.000000 2.316834 -0.031483 0.000000 0.948095 0.000000 -0.031816 0.000000 9.460716
0.429126 -0.007830 0.000000 2.416300 -0.073713 0.000000 0.904085 0.000000 -0.052356 0.000000 9.351082
0.536408 -0.018918 0.000000 2.510384 -0.136375 0.000000 0.847969 0.000000 -0.073470 0.000000 9.255718
0.643689 -0.037789 0.000000 2.597854 -0.218448 0.000000 0.780996 0.000000 -0.092556 0.000000 9.175706
0.750971 -0.066349 0.000000 2.677628 -0.316138 0.000000 0.704847 0.000000 -0.106634 0.000000 9.112557
0.858252 -0.105985 0.000000 2.748840 -0.424025 0.000000 0.621768 0.000000 -0.114979 0.000000 9.067202
0.965534 -0.157494 0.000000 2.810876 -0.536496 0.000000 0.534201 0.000000 -0.117083 0.000000 9.039492
1.072815 -0.221031 0.000000 2.863397 -0.647111 0.000000 0.444890 0.000000 -0.111799 0.000000 9.031846
1.180097 -0.296036 0.000000 2.906378 -0.749222 0.000000 0.356823 0.000000 -0.099714 0.000000 9.044931
1.287379 -0.381266 0.000000 2.940101 -0.836832 0.000000 0.272780 0.000000 -0.081808 0.000000 9.081527
1.394660 -0.474916 0.000000 2.965153 -0.905726 0.000000 0.195613 0.000000 -0.060990 0.000000 9.144025
1.501942 -0.574875 0.000000 2.982404 -0.954384 0.000000 0.127711 0.000000 -0.040097 0.000000 9.231155
1.609223 -0.679003 0.000000 2.992970 -0.983858 0.000000 0.071443 0.000000 -0.021851 0.000000 9.347646
1.716505 -0.785408 0.000000 2.998245 -0.997571 0.000000 0.029408 0.000000 -0.008369 0.000000 9.485635
1.823786 -0.892667 0.000000 2.999877 -1.000778 0.000000 0.004517 0.000000 -0.001156 0.000000 9.681480
1.931068 -1.000000 0.000000 3.000000 -1.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
