Generated trajectory:
Group: 8 
ID: 1 
Name: forward_short_y_05 
finalTime: 1.612187  
Cost: 1.863578  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.500000 2.000000 0.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100762 0.000000 0.000067 2.000008 0.000000 0.003290 0.000380 -0.013058 0.000000 0.000000 9.819468
0.201523 0.000000 0.001896 2.000125 0.000000 0.042805 0.001887 -0.070978 0.000000 0.000000 9.840112
0.302285 0.000000 0.010741 2.000301 0.000000 0.141846 0.000979 -0.125971 0.000000 0.000000 9.856927
0.403047 0.000000 0.031945 2.000203 0.000000 0.284107 -0.003369 -0.156656 0.000000 0.000000 9.873605
0.503809 0.000000 0.068478 1.999591 0.000000 0.440626 -0.008611 -0.154382 0.000000 0.000000 9.879951
0.604570 0.000000 0.120136 1.998565 0.000000 0.579293 -0.010928 -0.121526 0.000000 0.000000 9.884058
0.705332 0.000000 0.183698 1.997592 0.000000 0.672938 -0.007415 -0.064889 0.000000 0.000000 9.888619
0.806094 0.000000 0.253591 1.997212 0.000000 0.702836 0.000251 0.004224 0.000000 0.000000 9.890988
0.906855 0.000000 0.323013 1.997646 0.000000 0.664035 0.007950 0.070885 0.000000 0.000000 9.891672
1.007617 0.000000 0.385367 1.998661 0.000000 0.564768 0.011228 0.124386 0.000000 0.000000 9.885278
1.108379 0.000000 0.435413 1.999707 0.000000 0.423747 0.008678 0.153927 0.000000 0.000000 9.875656
1.209140 0.000000 0.470316 2.000306 0.000000 0.269481 0.003075 0.151709 0.000000 0.000000 9.863631
1.309902 0.000000 0.490290 2.000365 0.000000 0.132054 -0.001432 0.121002 0.000000 0.000000 9.850020
1.410664 0.000000 0.498387 2.000146 0.000000 0.037817 -0.002241 0.065872 0.000000 0.000000 9.839552
1.511426 0.000000 0.499949 2.000009 0.000000 0.002558 -0.000433 0.010560 0.000000 0.000000 9.820912
1.612187 0.000000 0.500000 2.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
