Generated trajectory:
Group: 8 
ID: 13 
Name: backward_short_x_025 
finalTime: 1.371587  
Cost: 1.581523  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -0.250000 0.000000 2.000000 -0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.105507 -0.000071 0.000000 2.000005 -0.003308 0.000000 0.000232 0.000000 -0.012544 0.000000 9.814725
0.211013 -0.001983 0.000000 2.000076 -0.042425 0.000000 0.001005 0.000000 -0.065922 0.000000 9.828363
0.316520 -0.010927 0.000000 2.000135 -0.134045 0.000000 -0.000344 0.000000 -0.106054 0.000000 9.837302
0.422027 -0.031139 0.000000 1.999944 -0.250234 0.000000 -0.003287 0.000000 -0.112596 0.000000 9.843662
0.527534 -0.063305 0.000000 1.999505 -0.354507 0.000000 -0.004488 0.000000 -0.083775 0.000000 9.847166
0.633040 -0.104366 0.000000 1.999133 -0.414398 0.000000 -0.001997 0.000000 -0.029512 0.000000 9.848595
0.738547 -0.148540 0.000000 1.999148 -0.412110 0.000000 0.002261 0.000000 0.032899 0.000000 9.848302
0.844054 -0.189151 0.000000 1.999537 -0.348555 0.000000 0.004538 0.000000 0.085714 0.000000 9.846593
0.949560 -0.220577 0.000000 1.999972 -0.242489 0.000000 0.003150 0.000000 0.112815 0.000000 9.842720
1.055067 -0.239978 0.000000 2.000145 -0.126815 0.000000 0.000183 0.000000 0.104109 0.000000 9.836040
1.160574 -0.248290 0.000000 2.000075 -0.038023 0.000000 -0.001037 0.000000 0.062187 0.000000 9.827237
1.266081 -0.249946 0.000000 2.000004 -0.002608 0.000000 -0.000217 0.000000 0.010286 0.000000 9.814199
1.371587 -0.250000 0.000000 2.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
