Generated trajectory:
Group: 8 
ID: 9 
Name: horizontal_diagonal_forth_quadrant_05 
finalTime: 1.771479  
Cost: 2.051622  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.500000 -0.500000 2.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.098416 0.000043 -0.000044 2.000010 0.002146 -0.002189 0.000474 0.008899 0.008729 0.000000 9.822588
0.196831 0.001216 -0.001238 2.000157 0.028285 -0.028722 0.002520 0.049185 0.048681 0.000000 9.846412
0.295247 0.007018 -0.007104 2.000425 0.096406 -0.097223 0.002269 0.090680 0.090959 0.000000 9.863741
0.393662 0.021347 -0.021506 2.000461 0.199472 -0.199994 -0.002198 0.118717 0.120241 0.000000 9.883225
0.492078 0.046901 -0.047072 1.999907 0.321334 -0.321012 -0.009196 0.127700 0.129737 0.000000 9.898343
0.590493 0.084560 -0.084655 1.998697 0.442176 -0.440977 -0.014815 0.116782 0.118413 0.000000 9.906236
0.688909 0.133300 -0.133240 1.997154 0.543791 -0.541855 -0.015511 0.088922 0.089963 0.000000 9.911252
0.787324 0.190466 -0.190188 1.995858 0.611121 -0.608706 -0.009828 0.047622 0.047914 0.000000 9.915403
0.885740 0.252105 -0.251589 1.995366 0.633507 -0.631208 0.000226 -0.000724 -0.001230 0.000000 9.916707
0.984155 0.313573 -0.312868 1.995899 0.607787 -0.606378 0.010194 -0.048236 -0.049559 0.000000 9.914965
1.082571 0.370290 -0.369514 1.997224 0.538175 -0.538153 0.015718 -0.089022 -0.090841 0.000000 9.910560
1.180986 0.418386 -0.417671 1.998777 0.434725 -0.435910 0.014795 -0.117508 -0.119281 0.000000 9.904689
1.279402 0.455251 -0.454686 1.999970 0.312909 -0.314664 0.008898 -0.127893 -0.129230 0.000000 9.896994
1.377817 0.479996 -0.479611 2.000497 0.191683 -0.193559 0.001975 -0.117639 -0.118535 0.000000 9.881025
1.476233 0.493635 -0.493438 2.000441 0.090301 -0.092203 -0.002444 -0.088449 -0.088566 0.000000 9.860100
1.574648 0.498963 -0.498919 2.000160 0.025001 -0.025991 -0.002601 -0.046560 -0.045171 0.000000 9.844817
1.673064 0.499967 -0.499966 2.000010 0.001681 -0.001753 -0.000475 -0.007404 -0.007093 0.000000 9.822487
1.771479 0.500000 -0.500000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
