Generated trajectory:
Group: 9 
ID: 3 
Name: backward_short_x_12 
finalTime: 1.299695  
Cost: 1.380967  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
To: -2.000000 0.000000 2.000000 -2.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099977 -0.099972 0.000000 2.000014 -1.001263 0.000000 0.000600 0.000000 -0.009054 0.000000 9.825985
0.199953 -0.201058 0.000000 2.000215 -1.027924 0.000000 0.003716 0.000000 -0.050850 0.000000 9.855284
0.299930 -0.307063 0.000000 2.000746 -1.100325 0.000000 0.006622 0.000000 -0.097325 0.000000 9.872004
0.399906 -0.422469 0.000000 2.001452 -1.214416 0.000000 0.006962 0.000000 -0.134361 0.000000 9.882794
0.499883 -0.550849 0.000000 2.002034 -1.357166 0.000000 0.004251 0.000000 -0.155210 0.000000 9.886659
0.599859 -0.694223 0.000000 2.002246 -1.511463 0.000000 -0.000127 0.000000 -0.158336 0.000000 9.885104
0.699836 -0.852892 0.000000 2.002023 -1.660493 0.000000 -0.004110 0.000000 -0.145371 0.000000 9.878817
0.799812 -1.025599 0.000000 2.001489 -1.790288 0.000000 -0.006180 0.000000 -0.120163 0.000000 9.869182
0.899789 -1.209884 0.000000 2.000868 -1.890818 0.000000 -0.005879 0.000000 -0.087052 0.000000 9.857126
0.999766 -1.402536 0.000000 2.000368 -1.957434 0.000000 -0.003948 0.000000 -0.052562 0.000000 9.843290
1.099742 -1.600199 0.000000 2.000089 -1.991811 0.000000 -0.001691 0.000000 -0.022553 0.000000 9.829412
1.199719 -1.799963 0.000000 2.000004 -2.001205 0.000000 -0.000217 0.000000 -0.003306 0.000000 9.814348
1.299695 -2.000000 0.000000 2.000000 -2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
