Generated trajectory:
Group: 9 
ID: 5 
Name: down_short_z_12 
finalTime: 1.343008  
Cost: 2.782410  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 3.000000 0.000000 0.000000 -1.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 -2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 3.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
0.103308 0.000000 0.000000 2.896509 0.000000 0.000000 -1.007002 0.000000 0.000000 0.000000 9.604468
0.206617 0.000000 0.000000 2.790762 0.000000 0.000000 -1.045615 0.000000 0.000000 0.000000 9.291111
0.309925 0.000000 0.000000 2.679591 0.000000 0.000000 -1.110464 0.000000 0.000000 0.000000 9.066214
0.413233 0.000000 0.000000 2.560541 0.000000 0.000000 -1.197734 0.000000 0.000000 0.000000 8.866205
0.516541 0.000000 0.000000 2.431513 0.000000 0.000000 -1.302531 0.000000 0.000000 0.000000 8.731087
0.619850 0.000000 0.000000 2.291058 0.000000 0.000000 -1.417907 0.000000 0.000000 0.000000 8.655363
0.723158 0.000000 0.000000 2.138355 0.000000 0.000000 -1.538903 0.000000 0.000000 0.000000 8.622967
0.826466 0.000000 0.000000 1.973086 0.000000 0.000000 -1.659901 0.000000 0.000000 0.000000 8.665024
0.929774 0.000000 0.000000 1.795698 0.000000 0.000000 -1.772299 0.000000 0.000000 0.000000 8.778904
1.033083 0.000000 0.000000 1.607399 0.000000 0.000000 -1.869991 0.000000 0.000000 0.000000 8.958113
1.136391 0.000000 0.000000 1.410097 0.000000 0.000000 -1.945576 0.000000 0.000000 0.000000 9.196376
1.239699 0.000000 0.000000 1.206398 0.000000 0.000000 -1.991611 0.000000 0.000000 0.000000 9.564201
1.343008 0.000000 0.000000 1.000000 0.000000 0.000000 -2.000000 0.000000 0.000000 0.000000 9.806000
