Generated trajectory:
Group: 10 
ID: 20 
Name: forward_short_x_55 
finalTime: 1.019465  
Cost: 1.509340  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 5.000000 0.000000 0.000000 
To: 5.000000 0.000000 2.000000 5.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 5.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101946 0.509433 0.000000 2.000003 4.992975 0.000000 0.000172 0.000000 -0.007580 0.000000 9.812988
0.203893 1.017305 0.000000 2.000052 4.964951 0.000000 0.000581 0.000000 -0.040239 0.000000 9.807998
0.305839 1.520653 0.000000 2.000029 4.905695 0.000000 -0.001353 0.000000 -0.064772 0.000000 9.802961
0.407786 2.017131 0.000000 1.999785 4.834747 0.000000 -0.003129 0.000000 -0.061704 0.000000 9.818826
0.509732 2.507116 0.000000 1.999494 4.784042 0.000000 -0.001918 0.000000 -0.024766 0.000000 9.841411
0.611679 2.994255 0.000000 1.999500 4.782413 0.000000 0.002049 0.000000 0.032740 0.000000 9.844331
0.713625 3.484231 0.000000 1.999805 4.839536 0.000000 0.003224 0.000000 0.089847 0.000000 9.836966
0.815572 3.982621 0.000000 2.000019 4.940989 0.000000 0.000559 0.000000 0.105367 0.000000 9.831421
0.917518 4.490110 0.000000 2.000004 5.000000 0.000000 -0.000189 0.000000 0.020801 0.000000 9.814250
1.019465 5.000000 0.000000 2.000000 5.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
