Generated trajectory:
Group: 10 
ID: 24 
Name: up_short_z_55 
finalTime: 1.000072  
Cost: 1.000117  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 5.000000 
To: 0.000000 0.000000 7.000000 0.000000 0.000000 5.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 5.000000 0.000000 0.000000 0.000000 9.806000
0.100007 0.000000 0.000000 2.500033 0.000000 0.000000 4.999926 0.000000 0.000000 0.000000 9.805591
0.200014 0.000000 0.000000 3.000055 0.000000 0.000000 4.999786 0.000000 0.000000 0.000000 9.804818
0.300022 0.000000 0.000000 3.500060 0.000000 0.000000 4.999582 0.000000 0.000000 0.000000 9.804413
0.400029 0.000000 0.000000 4.000044 0.000000 0.000000 4.999374 0.000000 0.000000 0.000000 9.804769
0.500036 0.000000 0.000000 4.500010 0.000000 0.000000 4.999243 0.000000 0.000000 0.000000 9.805943
0.600043 0.000000 0.000000 4.999970 0.000000 0.000000 4.999260 0.000000 0.000000 0.000000 9.807648
0.700051 0.000000 0.000000 5.499941 0.000000 0.000000 4.999450 0.000000 0.000000 0.000000 9.809253
0.800058 0.000000 0.000000 5.999937 0.000000 0.000000 4.999754 0.000000 0.000000 0.000000 9.809765
0.900065 0.000000 0.000000 6.499962 0.000000 0.000000 5.000000 0.000000 0.000000 0.000000 9.807800
1.000072 0.000000 0.000000 7.000000 0.000000 0.000000 5.000000 0.000000 0.000000 0.000000 9.806000
