Generated trajectory:
Group: 11 
ID: 36 
Name: backward_y_parallell_pos2_x_11 
finalTime: 2.431963  
Cost: 2.788726  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 
To: 2.000000 -3.000000 2.000000 0.000000 -1.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.105738 0.000075 -0.105704 2.000023 0.003485 -0.999965 0.000938 0.003858 0.013168 0.000000 9.834818
0.211475 0.002127 -0.211873 2.000343 0.046192 -1.011344 0.005411 0.021524 0.074430 0.000000 9.880449
0.317213 0.012442 -0.320316 2.001091 0.161292 -1.043309 0.007853 0.041359 0.145497 0.000000 9.913544
0.422950 0.038693 -0.433201 2.001741 0.345689 -1.094869 0.002990 0.058277 0.205719 0.000000 9.945894
0.528688 0.087380 -0.552385 2.001435 0.581888 -1.161455 -0.009898 0.069476 0.244601 0.000000 9.976238
0.634425 0.162728 -0.679124 1.999492 0.845867 -1.236644 -0.027132 0.074208 0.259338 0.000000 10.002095
0.740163 0.266361 -0.813943 1.995754 1.112767 -1.312932 -0.042777 0.071414 0.249909 0.000000 10.021766
0.845900 0.397309 -0.956553 1.990708 1.358758 -1.382926 -0.051066 0.062502 0.218685 0.000000 10.034250
0.951638 0.552232 -1.105971 1.985340 1.563096 -1.440859 -0.048514 0.048853 0.169770 0.000000 10.042720
1.057375 0.725793 -1.260678 1.980856 1.708773 -1.482353 -0.034540 0.031719 0.107070 0.000000 10.048731
1.163113 0.911076 -1.418760 1.978338 1.783234 -1.504277 -0.012087 0.012280 0.035911 0.000000 10.049554
1.268850 1.100177 -1.578048 1.978400 1.780604 -1.505070 0.013226 -0.007751 -0.037113 0.000000 10.047289
1.374588 1.284946 -1.736304 1.981021 1.701980 -1.484898 0.035326 -0.027106 -0.106756 0.000000 10.043443
1.480325 1.457636 -1.891363 1.985570 1.553536 -1.444816 0.048980 -0.045134 -0.169153 0.000000 10.037438
1.586063 1.611403 -2.041229 1.990973 1.346389 -1.387278 0.051216 -0.059817 -0.218888 0.000000 10.028649
1.691800 1.740894 -2.184288 1.996006 1.097703 -1.317018 0.042360 -0.069181 -0.249875 0.000000 10.014175
1.797538 1.842851 -2.319520 1.999670 0.829525 -1.240385 0.026198 -0.072165 -0.258145 0.000000 9.993599
1.903275 1.916481 -2.446622 2.001501 0.566014 -1.164455 0.008778 -0.068162 -0.242250 0.000000 9.970649
2.009013 1.963592 -2.566073 2.001708 0.332099 -1.097006 -0.003626 -0.056617 -0.201845 0.000000 9.944388
2.114750 1.988609 -2.679162 2.001033 0.151735 -1.045113 -0.007734 -0.039355 -0.140803 0.000000 9.911470
2.220488 1.998162 -2.787803 2.000315 0.041381 -1.013372 -0.005058 -0.019108 -0.069771 0.000000 9.875775
2.326225 1.999943 -2.894191 2.000021 0.002757 -1.001801 -0.000846 -0.002926 -0.010838 0.000000 9.832054
2.431963 2.000000 -3.000000 2.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
