Generated trajectory:
Group: 12 
ID: 13 
Name: smooth_revxrevy_downz_2 
finalTime: 2.130050  
Cost: 3.335258  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.414200 -1.414200 0.000000 
To: -2.000000 -2.000000 -0.000000 0.000000 -0.000000 -2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.414200 -1.414200 0.000000 0.000000 0.000000 0.000000 9.806000
0.096820 -0.136870 -0.136871 1.999904 -1.413501 -1.413528 -0.003928 0.002907 -0.002794 0.000000 9.686137
0.193641 -0.273951 -0.273965 1.998613 -1.420122 -1.420444 -0.026006 0.016060 -0.015533 0.000000 9.485924
0.290461 -0.412271 -0.412344 1.994320 -1.439049 -1.439979 -0.065398 0.029251 -0.028481 0.000000 9.322615
0.387282 -0.552898 -0.553098 1.985423 -1.466801 -1.468512 -0.120966 0.036308 -0.035379 0.000000 9.166110
0.484102 -0.696353 -0.696760 1.970430 -1.495998 -1.498575 -0.190985 0.033386 -0.032401 0.000000 9.025569
0.580923 -0.842327 -0.843026 1.948039 -1.517222 -1.520651 -0.273435 0.018873 -0.017936 0.000000 8.900520
0.677743 -0.989580 -0.990647 1.917137 -1.520883 -1.525008 -0.366625 -0.007073 0.007721 0.000000 8.791851
0.774563 -1.135997 -1.137482 1.876716 -1.498744 -1.503202 -0.470042 -0.042337 0.042521 0.000000 8.700416
0.871384 -1.278772 -1.280689 1.825772 -1.444911 -1.449323 -0.584180 -0.083493 0.083562 0.000000 8.628603
0.968204 -1.414678 -1.417009 1.763212 -1.356745 -1.360824 -0.710166 -0.126060 0.126469 0.000000 8.576863
1.065025 -1.540423 -1.543117 1.687850 -1.235528 -1.238863 -0.848654 -0.165356 0.166377 0.000000 8.546311
1.161845 -1.653018 -1.655973 1.598506 -1.086232 -1.088159 -0.998602 -0.196814 0.198488 0.000000 8.537485
1.258666 -1.750107 -1.753150 1.494218 -0.916730 -0.916517 -1.156563 -0.216662 0.218848 0.000000 8.551597
1.355486 -1.830200 -1.833100 1.374480 -0.736919 -0.734133 -1.316574 -0.222130 0.224522 0.000000 8.589855
1.452307 -1.892828 -1.895338 1.239450 -0.557844 -0.552659 -1.471153 -0.212202 0.214566 0.000000 8.653033
1.549127 -1.938612 -1.940537 1.090027 -0.390836 -0.384165 -1.612716 -0.187485 0.189834 0.000000 8.741963
1.645947 -1.969246 -1.970508 0.927781 -0.246561 -0.239766 -1.735204 -0.150965 0.153444 0.000000 8.858433
1.742768 -1.987366 -1.988024 0.754754 -0.133462 -0.128023 -1.835064 -0.107371 0.110311 0.000000 9.002888
1.839588 -1.996256 -1.996496 0.573198 -0.056312 -0.053167 -1.911362 -0.063548 0.066379 0.000000 9.179215
1.936409 -1.999415 -1.999458 0.385386 -0.014443 -0.013419 -1.964546 -0.026715 0.028552 0.000000 9.376708
2.033229 -1.999981 -1.999983 0.193509 -0.000968 -0.000892 -1.994627 -0.003876 0.004202 0.000000 9.641368
2.130050 -2.000000 -2.000000 -0.000000 0.000000 -0.000000 -2.000000 -0.000000 0.000000 0.000000 9.806000
