Generated trajectory:
Group: 1 
ID: 4 
Name: up_short_z 
finalTime: 3.160980  
Cost: 3.793285  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 3.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.105366 0.000000 0.000000 2.000109 0.000000 0.000000 0.004219 0.000000 0.000000 0.000000 9.927913
0.210732 0.000000 0.000000 2.001625 0.000000 0.000000 0.027796 0.000000 0.000000 0.000000 10.113348
0.316098 0.000000 0.000000 2.006483 0.000000 0.000000 0.066521 0.000000 0.000000 0.000000 10.232188
0.421464 0.000000 0.000000 2.016041 0.000000 0.000000 0.116498 0.000000 0.000000 0.000000 10.323050
0.526830 0.000000 0.000000 2.031301 0.000000 0.000000 0.174139 0.000000 0.000000 0.000000 10.379338
0.632196 0.000000 0.000000 2.052892 0.000000 0.000000 0.236172 0.000000 0.000000 0.000000 10.406568
0.737562 0.000000 0.000000 2.081119 0.000000 0.000000 0.299631 0.000000 0.000000 0.000000 10.407015
0.842928 0.000000 0.000000 2.115991 0.000000 0.000000 0.361868 0.000000 0.000000 0.000000 10.383821
0.948294 0.000000 0.000000 2.157251 0.000000 0.000000 0.420542 0.000000 0.000000 0.000000 10.339897
1.053660 0.000000 0.000000 2.204416 0.000000 0.000000 0.473627 0.000000 0.000000 0.000000 10.278217
1.159026 0.000000 0.000000 2.256802 0.000000 0.000000 0.519406 0.000000 0.000000 0.000000 10.201719
1.264392 0.000000 0.000000 2.313565 0.000000 0.000000 0.556476 0.000000 0.000000 0.000000 10.113411
1.369758 0.000000 0.000000 2.373725 0.000000 0.000000 0.583744 0.000000 0.000000 0.000000 10.016072
1.475124 0.000000 0.000000 2.436206 0.000000 0.000000 0.600428 0.000000 0.000000 0.000000 9.913316
1.580490 0.000000 0.000000 2.499868 0.000000 0.000000 0.606110 0.000000 0.000000 0.000000 9.807072
1.685856 0.000000 0.000000 2.563535 0.000000 0.000000 0.600486 0.000000 0.000000 0.000000 9.699630
1.791222 0.000000 0.000000 2.626017 0.000000 0.000000 0.583705 0.000000 0.000000 0.000000 9.596096
1.896588 0.000000 0.000000 2.686170 0.000000 0.000000 0.556387 0.000000 0.000000 0.000000 9.500004
2.001954 0.000000 0.000000 2.742926 0.000000 0.000000 0.519397 0.000000 0.000000 0.000000 9.412506
2.107320 0.000000 0.000000 2.795318 0.000000 0.000000 0.473723 0.000000 0.000000 0.000000 9.335939
2.212686 0.000000 0.000000 2.842497 0.000000 0.000000 0.420733 0.000000 0.000000 0.000000 9.274137
2.318052 0.000000 0.000000 2.883782 0.000000 0.000000 0.362140 0.000000 0.000000 0.000000 9.230094
2.423418 0.000000 0.000000 2.918686 0.000000 0.000000 0.299969 0.000000 0.000000 0.000000 9.206668
2.528784 0.000000 0.000000 2.946951 0.000000 0.000000 0.236556 0.000000 0.000000 0.000000 9.207187
2.634150 0.000000 0.000000 2.968585 0.000000 0.000000 0.174550 0.000000 0.000000 0.000000 9.233254
2.739516 0.000000 0.000000 2.983882 0.000000 0.000000 0.116785 0.000000 0.000000 0.000000 9.289277
2.844882 0.000000 0.000000 2.993468 0.000000 0.000000 0.066781 0.000000 0.000000 0.000000 9.380816
2.950248 0.000000 0.000000 2.998352 0.000000 0.000000 0.028000 0.000000 0.000000 0.000000 9.499140
3.055614 0.000000 0.000000 2.999884 0.000000 0.000000 0.004337 0.000000 0.000000 0.000000 9.684311
3.160980 0.000000 0.000000 3.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
