Generated trajectory:
Group: 2 
ID: 0 
Name: vertical_fwd_x_up_z 
finalTime: 3.159503  
Cost: 3.796320  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 1.000000 0.000000 3.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101919 0.000007 0.000000 2.000099 0.000331 0.000000 0.003944 0.000000 0.001291 0.000000 9.923890
0.203839 0.000197 0.000000 2.001470 0.004474 0.000000 0.026023 0.000000 0.007404 0.000000 10.104321
0.305758 0.001175 0.000000 2.005876 0.016052 0.000000 0.062426 0.000000 0.015005 0.000000 10.222119
0.407678 0.003746 0.000000 2.014564 0.035755 0.000000 0.109592 0.000000 0.022644 0.000000 10.314184
0.509597 0.008735 0.000000 2.028468 0.063447 0.000000 0.164238 0.000000 0.029859 0.000000 10.373955
0.611517 0.016928 0.000000 2.048194 0.098472 0.000000 0.223363 0.000000 0.036343 0.000000 10.406435
0.713436 0.029034 0.000000 2.074057 0.140170 0.000000 0.284239 0.000000 0.042440 0.000000 10.413635
0.815356 0.045712 0.000000 2.106109 0.188095 0.000000 0.344418 0.000000 0.048222 0.000000 10.398359
0.917275 0.067572 0.000000 2.144165 0.241816 0.000000 0.401718 0.000000 0.053714 0.000000 10.363184
1.019194 0.095182 0.000000 2.187832 0.300788 0.000000 0.454240 0.000000 0.058696 0.000000 10.310755
1.121114 0.129034 0.000000 2.236539 0.364132 0.000000 0.500380 0.000000 0.062769 0.000000 10.243685
1.223033 0.169508 0.000000 2.289568 0.430457 0.000000 0.538844 0.000000 0.065320 0.000000 10.164542
1.324953 0.216809 0.000000 2.346082 0.497682 0.000000 0.568662 0.000000 0.065596 0.000000 10.076165
1.426872 0.270893 0.000000 2.405168 0.563034 0.000000 0.589204 0.000000 0.062822 0.000000 9.980798
1.528792 0.331392 0.000000 2.465856 0.622906 0.000000 0.600069 0.000000 0.056005 0.000000 9.880588
1.630711 0.397534 0.000000 2.527152 0.673040 0.000000 0.601133 0.000000 0.044667 0.000000 9.778974
1.732630 0.468107 0.000000 2.588061 0.709160 0.000000 0.592528 0.000000 0.028875 0.000000 9.679670
1.834550 0.541477 0.000000 2.647612 0.727298 0.000000 0.574500 0.000000 0.008876 0.000000 9.584244
1.936469 0.615629 0.000000 2.704850 0.723991 0.000000 0.547169 0.000000 -0.014655 0.000000 9.494391
2.038389 0.688249 0.000000 2.758838 0.697033 0.000000 0.510756 0.000000 -0.039954 0.000000 9.413518
2.140308 0.756898 0.000000 2.808669 0.646217 0.000000 0.465718 0.000000 -0.064721 0.000000 9.344335
2.242228 0.819230 0.000000 2.853505 0.573608 0.000000 0.412920 0.000000 -0.086325 0.000000 9.289395
2.344147 0.873231 0.000000 2.892624 0.483677 0.000000 0.353863 0.000000 -0.102026 0.000000 9.251307
2.446067 0.917459 0.000000 2.925499 0.383111 0.000000 0.290801 0.000000 -0.109466 0.000000 9.232641
2.547986 0.951247 0.000000 2.951865 0.280302 0.000000 0.226686 0.000000 -0.107092 0.000000 9.236169
2.649905 0.974828 0.000000 2.971784 0.184324 0.000000 0.164869 0.000000 -0.094812 0.000000 9.263865
2.751825 0.989350 0.000000 2.985662 0.103897 0.000000 0.108672 0.000000 -0.073837 0.000000 9.318810
2.853744 0.996761 0.000000 2.994236 0.045571 0.000000 0.061302 0.000000 -0.047988 0.000000 9.406083
2.955664 0.999486 0.000000 2.998553 0.012024 0.000000 0.025461 0.000000 -0.022021 0.000000 9.518272
3.057583 0.999984 0.000000 2.999898 0.000806 0.000000 0.003933 0.000000 -0.003317 0.000000 9.692061
3.159503 1.000000 0.000000 3.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
