Generated trajectory:
Group: 2 
ID: 12 
Name: vertical_rev_x_fwd_y_up_z 
finalTime: 3.159016  
Cost: 3.800945  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 1.000000 3.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101904 -0.000007 0.000007 2.000099 -0.000346 0.000330 0.003931 -0.001285 -0.001348 0.000000 9.923534
0.203807 -0.000206 0.000196 2.001465 -0.004680 0.004428 0.025940 -0.007288 -0.007770 0.000000 10.103735
0.305711 -0.001233 0.001157 2.005856 -0.016895 0.015698 0.062216 -0.014468 -0.015895 0.000000 10.221718
0.407615 -0.003946 0.003651 2.014511 -0.037795 0.034500 0.109168 -0.021504 -0.023994 0.000000 10.314566
0.509519 -0.009215 0.008446 2.028356 -0.066929 0.060878 0.163533 -0.028547 -0.031248 0.000000 10.375421
0.611422 -0.017838 0.016302 2.047989 -0.103467 0.094423 0.222289 -0.034821 -0.037840 0.000000 10.409841
0.713326 -0.030529 0.027907 2.073720 -0.146664 0.134368 0.282798 -0.040646 -0.043780 0.000000 10.418797
0.815230 -0.047932 0.043893 2.105596 -0.195846 0.180379 0.342481 -0.046398 -0.049303 0.000000 10.404887
0.917134 -0.070629 0.064870 2.143420 -0.250478 0.232297 0.399220 -0.052091 -0.054422 0.000000 10.371964
1.019037 -0.099145 0.091428 2.186795 -0.309910 0.289819 0.451128 -0.057475 -0.058938 0.000000 10.321788
1.120941 -0.133921 0.124103 2.235146 -0.373156 0.352208 0.496635 -0.062048 -0.062461 0.000000 10.257173
1.222845 -0.175282 0.163335 2.287754 -0.438896 0.418253 0.534518 -0.065347 -0.064641 0.000000 10.180831
1.324749 -0.223392 0.209407 2.343796 -0.505213 0.486046 0.563928 -0.066415 -0.064582 0.000000 10.094912
1.426652 -0.278172 0.262357 2.402380 -0.569254 0.552679 0.584346 -0.064241 -0.061321 0.000000 10.001330
1.528556 -0.339210 0.321882 2.462578 -0.627395 0.614451 0.595585 -0.058138 -0.054077 0.000000 9.903300
1.630460 -0.405695 0.387286 2.523457 -0.675386 0.667364 0.597766 -0.047851 -0.042224 0.000000 9.804186
1.732363 -0.476366 0.457452 2.584106 -0.708890 0.707193 0.591087 -0.032874 -0.025947 0.000000 9.706574
1.834267 -0.549548 0.530820 2.643627 -0.724042 0.729465 0.575620 -0.013103 -0.005709 0.000000 9.612081
1.936171 -0.623201 0.605391 2.701116 -0.717737 0.730254 0.551143 0.010514 0.017567 0.000000 9.523249
2.038075 -0.695035 0.678832 2.755638 -0.688147 0.706996 0.517358 0.036320 0.042313 0.000000 9.443096
2.139978 -0.762662 0.748644 2.806233 -0.635412 0.659147 0.474071 0.061851 0.066160 0.000000 9.374254
2.241882 -0.823830 0.812396 2.851947 -0.561946 0.588558 0.421675 0.084546 0.086680 0.000000 9.319132
2.343786 -0.876638 0.867958 2.891907 -0.472289 0.499256 0.361498 0.101883 0.101376 0.000000 9.281390
2.445690 -0.919760 0.913733 2.925448 -0.373079 0.397797 0.296187 0.110831 0.107877 0.000000 9.260973
2.547593 -0.952622 0.948906 2.952211 -0.272354 0.292648 0.229121 0.110042 0.105016 0.000000 9.260685
2.649497 -0.975515 0.973571 2.972235 -0.178914 0.193228 0.164703 0.098520 0.092189 0.000000 9.286102
2.751401 -0.989618 0.988810 2.986012 -0.101029 0.109127 0.107133 0.077339 0.071548 0.000000 9.338600
2.853305 -0.996834 0.996594 2.994416 -0.044473 0.047893 0.059719 0.050289 0.046641 0.000000 9.421865
2.955208 -0.999497 0.999459 2.998604 -0.011773 0.012655 0.024598 0.023153 0.021519 0.000000 9.529133
3.057112 -0.999984 0.999983 2.999902 -0.000790 0.000846 0.003789 0.003485 0.003250 0.000000 9.696290
3.159016 -1.000000 1.000000 3.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
