Generated trajectory:
Group: 3 
ID: 22 
Name: backward_short_y_11 
finalTime: 0.985297  
Cost: 0.992300  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 
To: 0.000000 -1.000000 2.000000 0.000000 -1.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.098530 0.000000 -0.098493 1.999997 0.000000 -0.999588 -0.000045 0.002330 0.000000 0.000000 9.806436
0.197059 0.000000 -0.197183 1.999993 0.000000 -1.005197 -0.000035 0.011491 0.000000 0.000000 9.807612
0.295589 0.000000 -0.296814 1.999992 0.000000 -1.017755 0.000017 0.015195 0.000000 0.000000 9.808317
0.394119 0.000000 -0.397733 1.999996 0.000000 -1.030117 0.000056 0.011288 0.000000 0.000000 9.807211
0.492649 0.000000 -0.499579 2.000000 0.000000 -1.035649 0.000009 0.001786 0.000000 0.000000 9.805821
0.591178 0.000000 -0.601497 1.999997 0.000000 -1.031588 -0.000051 -0.007668 0.000000 0.000000 9.806893
0.689708 0.000000 -0.702619 1.999994 0.000000 -1.020218 -0.000003 -0.012672 0.000000 0.000000 9.807808
0.788238 0.000000 -0.802501 1.999995 0.000000 -1.007717 0.000014 -0.009689 0.000000 0.000000 9.807277
0.886768 0.000000 -0.901414 1.999998 0.000000 -1.001391 0.000039 -0.001712 0.000000 0.000000 9.806611
0.985297 0.000000 -1.000000 2.000000 0.000000 -1.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
