Generated trajectory:
Group: 3 
ID: 23 
Name: backward_short_x_11 
finalTime: 0.986548  
Cost: 0.992977  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
To: -1.000000 0.000000 2.000000 -1.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.098655 -0.098617 0.000000 1.999997 -0.999537 0.000000 -0.000051 0.000000 -0.002125 0.000000 9.806247
0.197310 -0.197405 0.000000 1.999991 -1.004589 0.000000 -0.000063 0.000000 -0.010532 0.000000 9.807361
0.295964 -0.297052 0.000000 1.999987 -1.016068 0.000000 -0.000011 0.000000 -0.014002 0.000000 9.808270
0.394619 -0.397881 0.000000 1.999989 -1.027429 0.000000 0.000044 0.000000 -0.010476 0.000000 9.807322
0.493274 -0.499565 0.000000 1.999993 -1.032583 0.000000 0.000018 0.000000 -0.001831 0.000000 9.806035
0.591929 -0.601326 0.000000 1.999992 -1.028967 0.000000 -0.000026 0.000000 0.006835 0.000000 9.806893
0.690584 -0.702365 0.000000 1.999991 -1.018624 0.000000 0.000018 0.000000 0.011451 0.000000 9.807595
0.789238 -0.802272 0.000000 1.999994 -1.007200 0.000000 0.000028 0.000000 0.008786 0.000000 9.807092
0.887893 -0.901289 0.000000 1.999998 -1.001357 0.000000 0.000042 0.000000 0.001559 0.000000 9.806522
0.986548 -1.000000 0.000000 2.000000 -1.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
