Generated trajectory:
Group: 3 
ID: 29 
Name: horizontal_diagonal_forth_quadrant_11 
finalTime: 1.317596  
Cost: 1.356522  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 
To: 1.000000 -1.000000 2.000000 0.707100 -0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.101354 0.071650 -0.071650 2.000000 0.707325 -0.707339 0.000070 0.003773 0.003720 0.000000 9.809919
0.202707 0.143732 -0.143739 2.000028 0.717781 -0.717922 0.000455 0.019859 0.019677 0.000000 9.811884
0.304061 0.217679 -0.217710 2.000067 0.743462 -0.743777 0.000195 0.032137 0.032025 0.000000 9.811575
0.405414 0.294692 -0.294758 2.000059 0.776616 -0.776959 -0.000338 0.034314 0.034412 0.000000 9.813551
0.506768 0.374998 -0.375092 2.000008 0.806655 -0.806850 -0.000598 0.025900 0.026101 0.000000 9.813038
0.608121 0.457791 -0.457895 1.999954 0.824518 -0.824524 -0.000392 0.010432 0.010611 0.000000 9.811550
0.709475 0.541540 -0.541636 1.999938 0.824981 -0.824824 0.000099 -0.008230 -0.008081 0.000000 9.812808
0.810828 0.624411 -0.624484 1.999973 0.807610 -0.807326 0.000510 -0.024342 -0.024261 0.000000 9.813287
0.912182 0.704822 -0.704865 2.000017 0.777768 -0.777476 0.000276 -0.032458 -0.032543 0.000000 9.812997
1.013535 0.781965 -0.781983 2.000026 0.744853 -0.744659 -0.000079 -0.030235 -0.030362 0.000000 9.812852
1.114889 0.856058 -0.856062 2.000009 0.719232 -0.719152 -0.000191 -0.018101 -0.018209 0.000000 9.810792
1.216243 0.928282 -0.928282 1.999999 0.708553 -0.708545 -0.000006 -0.002991 -0.003022 0.000000 9.808006
1.317596 1.000000 -1.000000 2.000000 0.707100 -0.707100 -0.000000 0.000000 0.000000 0.000000 9.806000
