Generated trajectory:
Group: 4 
ID: 10 
Name: vertical_fwd_y_down_z_01-1_000 
finalTime: 2.293180  
Cost: 2.576661  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.707100 -0.707100 
To: 0.000000 1.000000 1.000000 0.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 9.806000
0.134893 0.000000 0.095327 1.904604 0.000000 0.706473 -0.707422 -0.000963 0.000000 0.000000 9.800649
0.269786 0.000000 0.190752 1.809124 0.000000 0.709165 -0.707969 -0.004563 0.000000 0.000000 9.811810
0.404679 0.000000 0.286806 1.713787 0.000000 0.715042 -0.704561 -0.004693 0.000000 0.000000 9.855846
0.539572 0.000000 0.383461 1.619375 0.000000 0.716512 -0.693796 0.002040 0.000000 0.000000 9.920110
0.674465 0.000000 0.479551 1.527050 0.000000 0.705659 -0.673299 0.013146 0.000000 0.000000 9.999658
0.809358 0.000000 0.573091 1.438231 0.000000 0.678265 -0.641661 0.026064 0.000000 0.000000 10.087260
0.944251 0.000000 0.661715 1.354457 0.000000 0.632651 -0.598516 0.039305 0.000000 0.000000 10.176518
1.079144 0.000000 0.742964 1.277262 0.000000 0.569167 -0.544244 0.051291 0.000000 0.000000 10.261197
1.214037 0.000000 0.814580 1.208077 0.000000 0.490486 -0.480017 0.060335 0.000000 0.000000 10.334377
1.348930 0.000000 0.874839 1.148129 0.000000 0.401741 -0.407631 0.065278 0.000000 0.000000 10.389821
1.483823 0.000000 0.922737 1.098356 0.000000 0.307985 -0.329666 0.067010 0.000000 0.000000 10.420613
1.618716 0.000000 0.957970 1.059288 0.000000 0.215192 -0.249534 0.063741 0.000000 0.000000 10.420066
1.753609 0.000000 0.981164 1.030947 0.000000 0.130676 -0.171397 0.055523 0.000000 0.000000 10.382695
1.888501 0.000000 0.993946 1.012729 0.000000 0.062197 -0.100441 0.041527 0.000000 0.000000 10.298476
2.023394 0.000000 0.999014 1.003237 0.000000 0.017470 -0.042976 0.022298 0.000000 0.000000 10.173119
2.158287 0.000000 0.999970 1.000220 0.000000 0.001135 -0.006606 0.003494 0.000000 0.000000 9.954735
2.293180 0.000000 1.000000 1.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
