Generated trajectory:
Group: 4 
ID: 4 
Name: vertical_fwd_x_down_z_10-1_000 
finalTime: 2.293107  
Cost: 2.577284  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 0.000000 -0.707100 
To: 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 0.000000 -0.707100 0.000000 0.000000 0.000000 9.806000
0.134889 0.095322 0.000000 1.904606 0.706374 0.000000 -0.707449 0.000000 0.000671 0.000000 9.800038
0.269777 0.190673 0.000000 1.809118 0.707997 0.000000 -0.708095 0.000000 0.003278 0.000000 9.811386
0.404666 0.286444 0.000000 1.713767 0.712074 0.000000 -0.704679 0.000000 0.003468 0.000000 9.855913
0.539555 0.382610 0.000000 1.619342 0.712482 0.000000 -0.693926 0.000000 -0.002342 0.000000 9.919966
0.674443 0.478159 0.000000 1.527002 0.701940 0.000000 -0.673433 0.000000 -0.012434 0.000000 9.999688
0.809332 0.571281 0.000000 1.438170 0.675968 0.000000 -0.641766 0.000000 -0.024759 0.000000 10.087165
0.944220 0.659722 0.000000 1.354386 0.632323 0.000000 -0.598587 0.000000 -0.037793 0.000000 10.176312
1.079109 0.741063 0.000000 1.277189 0.570870 0.000000 -0.544246 0.000000 -0.049899 0.000000 10.261049
1.213998 0.813028 0.000000 1.208009 0.493926 0.000000 -0.479955 0.000000 -0.059245 0.000000 10.334063
1.348886 0.873837 0.000000 1.148074 0.406370 0.000000 -0.407534 0.000000 -0.064756 0.000000 10.389755
1.483775 0.922372 0.000000 1.098317 0.312489 0.000000 -0.329577 0.000000 -0.067847 0.000000 10.420420
1.618664 0.958078 0.000000 1.059254 0.217377 0.000000 -0.249558 0.000000 -0.065958 0.000000 10.421919
1.753552 0.981367 0.000000 1.030921 0.130150 0.000000 -0.171250 0.000000 -0.056774 0.000000 10.384014
1.888441 0.994023 0.000000 1.012720 0.061297 0.000000 -0.100378 0.000000 -0.041020 0.000000 10.297576
2.023329 0.999022 0.000000 1.003233 0.017288 0.000000 -0.042941 0.000000 -0.021983 0.000000 10.172946
2.158218 0.999970 0.000000 1.000220 0.001131 0.000000 -0.006598 0.000000 -0.003475 0.000000 9.954578
2.293107 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 9.806000
