Generated trajectory:
Group: 5 
ID: 30 
Name: rev_smooth_straighty_upz 
finalTime: 1.944804  
Cost: 2.443736  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 
To: 0.000000 -1.000000 3.000000 0.000000 0.000000 1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.108045 0.000000 -0.107971 2.000120 0.000000 -0.998210 0.004508 -0.002606 0.000000 0.000000 9.932980
0.216089 0.000000 -0.215410 2.001786 0.000000 -0.988320 0.029939 -0.014741 0.000000 0.000000 10.134169
0.324134 0.000000 -0.320970 2.007206 0.000000 -0.962939 0.072928 -0.029349 0.000000 0.000000 10.278628
0.432179 0.000000 -0.422899 2.018063 0.000000 -0.921191 0.130174 -0.043284 0.000000 0.000000 10.402658
0.540223 0.000000 -0.519486 2.035735 0.000000 -0.864399 0.198550 -0.055246 0.000000 0.000000 10.497796
0.648268 0.000000 -0.609227 2.061264 0.000000 -0.794866 0.275167 -0.065039 0.000000 0.000000 10.567842
0.756313 0.000000 -0.690882 2.095395 0.000000 -0.715141 0.357341 -0.072638 0.000000 0.000000 10.612801
0.864357 0.000000 -0.763480 2.138589 0.000000 -0.627575 0.442497 -0.078527 0.000000 0.000000 10.633775
0.972402 0.000000 -0.826287 2.191035 0.000000 -0.534301 0.528242 -0.082476 0.000000 0.000000 10.632261
1.080447 0.000000 -0.878840 2.252679 0.000000 -0.438328 0.612402 -0.083668 0.000000 0.000000 10.608705
1.188491 0.000000 -0.921012 2.323235 0.000000 -0.342571 0.692859 -0.082738 0.000000 0.000000 10.564223
1.296536 0.000000 -0.952992 2.402197 0.000000 -0.250371 0.767719 -0.078211 0.000000 0.000000 10.500237
1.404581 0.000000 -0.975410 2.488866 0.000000 -0.166371 0.835236 -0.069411 0.000000 0.000000 10.417299
1.512625 0.000000 -0.989420 2.582356 0.000000 -0.095614 0.893711 -0.055943 0.000000 0.000000 10.317030
1.620670 0.000000 -0.996726 2.681599 0.000000 -0.042994 0.941380 -0.038345 0.000000 0.000000 10.198526
1.728715 0.000000 -0.999478 2.785317 0.000000 -0.011571 0.976310 -0.018855 0.000000 0.000000 10.069926
1.836759 0.000000 -0.999984 2.892049 0.000000 -0.000759 0.996470 -0.002908 0.000000 0.000000 9.905827
1.944804 0.000000 -1.000000 3.000000 0.000000 0.000000 1.000000 -0.000000 0.000000 0.000000 9.806000
