Generated trajectory:
Group: 6 
ID: 3 
Name: up_down_smooth_revxrevy_downz_revxrevy_upz 
finalTime: 1.872311  
Cost: 2.555640  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.577400 -0.577400 -0.577400 
To: -1.000000 -1.000000 2.000000 -0.577400 -0.577400 0.577400 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.577400 -0.577400 -0.577400 0.000000 0.000000 0.000000 9.806000
0.104017 -0.060022 -0.060020 1.940056 -0.576483 -0.576418 -0.572890 -0.001457 0.001210 0.000000 9.937872
0.208035 -0.119803 -0.119766 1.881605 -0.571971 -0.571219 -0.547313 -0.007677 0.006704 0.000000 10.150466
0.312052 -0.178786 -0.178621 1.826819 -0.561098 -0.559478 -0.503347 -0.012887 0.012373 0.000000 10.309391
0.416069 -0.236347 -0.235997 1.777440 -0.544978 -0.543157 -0.443670 -0.015840 0.015952 0.000000 10.450535
0.520086 -0.292074 -0.291551 1.734974 -0.526378 -0.524946 -0.370875 -0.016045 0.016613 0.000000 10.563696
0.624104 -0.345869 -0.345235 1.700649 -0.508271 -0.507608 -0.287568 -0.014038 0.014823 0.000000 10.652610
0.728121 -0.397925 -0.397268 1.675431 -0.493400 -0.493622 -0.196188 -0.009914 0.010688 0.000000 10.716488
0.832138 -0.448702 -0.448110 1.660021 -0.483933 -0.484927 -0.099425 -0.004606 0.005185 0.000000 10.754396
0.936155 -0.498831 -0.498369 1.654841 -0.481108 -0.482540 0.000037 0.001262 -0.001088 0.000000 10.767119
1.040173 -0.549034 -0.548722 1.660028 -0.485321 -0.486694 0.099485 0.007049 -0.007275 0.000000 10.754444
1.144190 -0.600023 -0.599840 1.675442 -0.496093 -0.497189 0.196208 0.012462 -0.012708 0.000000 10.716494
1.248207 -0.652413 -0.652328 1.700660 -0.511883 -0.512656 0.287543 0.015948 -0.016289 0.000000 10.653132
1.352225 -0.706603 -0.706578 1.734984 -0.530270 -0.530663 0.370874 0.017331 -0.017655 0.000000 10.564183
1.456242 -0.762731 -0.762731 1.777448 -0.548721 -0.548832 0.443646 0.016496 -0.016685 0.000000 10.450520
1.560259 -0.820657 -0.820661 1.826824 -0.564338 -0.564320 0.503313 0.012810 -0.012866 0.000000 10.309443
1.664276 -0.879939 -0.879940 1.881606 -0.574419 -0.574397 0.547286 0.006930 -0.006901 0.000000 10.150598
1.768294 -0.939915 -0.939915 1.940056 -0.577722 -0.577722 0.572885 0.001109 -0.001105 0.000000 9.938014
1.872311 -1.000000 -1.000000 2.000000 -0.577400 -0.577400 0.577400 0.000000 -0.000000 0.000000 9.806000
