Generated trajectory:
Group: 7 
ID: 3 
Name: smooth_up_revy 
finalTime: 1.930232  
Cost: 2.376899  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 
To: 0.000000 -1.000000 3.000000 0.000000 -1.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
0.107235 0.000000 -0.000014 2.107149 0.000000 -0.000626 0.996856 0.002347 0.000000 0.000000 9.719861
0.214470 0.000000 -0.000387 2.213245 0.000000 -0.008366 0.979313 0.014076 0.000000 0.000000 9.576410
0.321705 0.000000 -0.002356 2.316707 0.000000 -0.031286 0.948186 0.031571 0.000000 0.000000 9.461056
0.428940 0.000000 -0.007779 2.416142 0.000000 -0.073208 0.904258 0.052050 0.000000 0.000000 9.351746
0.536176 0.000000 -0.018791 2.510212 0.000000 -0.135582 0.848276 0.073241 0.000000 0.000000 9.256758
0.643411 0.000000 -0.037557 2.597685 0.000000 -0.217432 0.781475 0.092409 0.000000 0.000000 9.177042
0.750646 0.000000 -0.065992 2.677486 0.000000 -0.315138 0.705496 0.106949 0.000000 0.000000 9.113695
0.857881 0.000000 -0.105531 2.748740 0.000000 -0.423644 0.622442 0.115970 0.000000 0.000000 9.067073
0.965116 0.000000 -0.157028 2.810813 0.000000 -0.537067 0.534716 0.118076 0.000000 0.000000 9.038472
1.072351 0.000000 -0.220641 2.863358 0.000000 -0.648402 0.445242 0.112407 0.000000 0.000000 9.030764
1.179586 0.000000 -0.295773 2.906351 0.000000 -0.750843 0.357058 0.099918 0.000000 0.000000 9.043959
1.286821 0.000000 -0.381141 2.940082 0.000000 -0.838429 0.272957 0.081678 0.000000 0.000000 9.080754
1.394056 0.000000 -0.474910 2.965140 0.000000 -0.907058 0.195757 0.060674 0.000000 0.000000 9.143198
1.501291 0.000000 -0.574947 2.982396 0.000000 -0.955322 0.127812 0.039674 0.000000 0.000000 9.230352
1.608527 0.000000 -0.679106 2.992967 0.000000 -0.984331 0.071505 0.021408 0.000000 0.000000 9.347018
1.715762 0.000000 -0.785496 2.998245 0.000000 -0.997695 0.029435 0.008156 0.000000 0.000000 9.485184
1.822997 0.000000 -0.892713 2.999877 0.000000 -1.000787 0.004522 0.001122 0.000000 0.000000 9.681308
1.930232 0.000000 -1.000000 3.000000 0.000000 -1.000000 0.000000 -0.000000 0.000000 0.000000 9.806000
