Generated trajectory:
Group: 7 
ID: 8 
Name: smooth_down_fwdx 
finalTime: 1.942928  
Cost: 2.440442  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 
To: 1.000000 0.000000 1.000000 1.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
0.097146 0.000013 0.000000 1.902921 0.000668 0.000000 -0.997168 0.000000 0.002739 0.000000 9.895270
0.194293 0.000379 0.000000 1.806723 0.009037 0.000000 -0.980924 0.000000 0.015837 0.000000 10.042973
0.291439 0.002269 0.000000 1.712719 0.032617 0.000000 -0.952542 0.000000 0.032310 0.000000 10.161008
0.388586 0.007252 0.000000 1.622001 0.072668 0.000000 -0.913434 0.000000 0.048265 0.000000 10.271220
0.485732 0.016890 0.000000 1.535543 0.128160 0.000000 -0.865106 0.000000 0.062178 0.000000 10.367050
0.582878 0.032567 0.000000 1.454176 0.196424 0.000000 -0.808795 0.000000 0.072618 0.000000 10.451144
0.680025 0.055353 0.000000 1.378621 0.273948 0.000000 -0.745663 0.000000 0.079615 0.000000 10.520039
0.777171 0.085984 0.000000 1.309474 0.357391 0.000000 -0.677104 0.000000 0.083597 0.000000 10.572775
0.874318 0.124893 0.000000 1.247199 0.443954 0.000000 -0.604409 0.000000 0.085197 0.000000 10.610102
0.971464 0.172259 0.000000 1.192132 0.531076 0.000000 -0.528934 0.000000 0.084463 0.000000 10.630768
1.068610 0.228024 0.000000 1.144473 0.616583 0.000000 -0.452171 0.000000 0.082082 0.000000 10.633689
1.165757 0.291943 0.000000 1.104269 0.698552 0.000000 -0.375700 0.000000 0.077702 0.000000 10.619291
1.262903 0.363550 0.000000 1.071418 0.774425 0.000000 -0.301068 0.000000 0.070729 0.000000 10.585348
1.360050 0.442129 0.000000 1.045652 0.841736 0.000000 -0.230193 0.000000 0.061921 0.000000 10.530442
1.457196 0.526770 0.000000 1.026510 0.899048 0.000000 -0.165007 0.000000 0.051951 0.000000 10.455574
1.554342 0.616433 0.000000 1.013343 0.944771 0.000000 -0.107516 0.000000 0.039903 0.000000 10.360061
1.651489 0.709894 0.000000 1.005302 0.976996 0.000000 -0.059886 0.000000 0.026196 0.000000 10.240656
1.748635 0.805797 0.000000 1.001309 0.995085 0.000000 -0.024452 0.000000 0.012447 0.000000 10.105156
1.845782 0.902815 0.000000 1.000088 1.000521 0.000000 -0.003668 0.000000 0.001915 0.000000 9.921092
1.942928 1.000000 0.000000 1.000000 1.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 9.806000
