Generated trajectory:
Group: 8 
ID: 5 
Name: down_short_z_05 
finalTime: 2.523303  
Cost: 3.027986  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 1.500000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.109709 0.000000 0.000000 1.999873 0.000000 0.000000 -0.004567 0.000000 0.000000 0.000000 9.682903
0.219418 0.000000 0.000000 1.998201 0.000000 0.000000 -0.029175 0.000000 0.000000 0.000000 9.504195
0.329126 0.000000 0.000000 1.992971 0.000000 0.000000 -0.067976 0.000000 0.000000 0.000000 9.406013
0.438835 0.000000 0.000000 1.982956 0.000000 0.000000 -0.115707 0.000000 0.000000 0.000000 9.345122
0.548544 0.000000 0.000000 1.967429 0.000000 0.000000 -0.167692 0.000000 0.000000 0.000000 9.326342
0.658253 0.000000 0.000000 1.946156 0.000000 0.000000 -0.219839 0.000000 0.000000 0.000000 9.341610
0.767962 0.000000 0.000000 1.919316 0.000000 0.000000 -0.268640 0.000000 0.000000 0.000000 9.386379
0.877671 0.000000 0.000000 1.887442 0.000000 0.000000 -0.311173 0.000000 0.000000 0.000000 9.454935
0.987379 0.000000 0.000000 1.851354 0.000000 0.000000 -0.345100 0.000000 0.000000 0.000000 9.542689
1.097088 0.000000 0.000000 1.812102 0.000000 0.000000 -0.368667 0.000000 0.000000 0.000000 9.641739
1.206797 0.000000 0.000000 1.770873 0.000000 0.000000 -0.380961 0.000000 0.000000 0.000000 9.749317
1.316506 0.000000 0.000000 1.728962 0.000000 0.000000 -0.381010 0.000000 0.000000 0.000000 9.863074
1.426215 0.000000 0.000000 1.687725 0.000000 0.000000 -0.368754 0.000000 0.000000 0.000000 9.971804
1.535923 0.000000 0.000000 1.648467 0.000000 0.000000 -0.345092 0.000000 0.000000 0.000000 10.071489
1.645632 0.000000 0.000000 1.612386 0.000000 0.000000 -0.311079 0.000000 0.000000 0.000000 10.158959
1.755341 0.000000 0.000000 1.580526 0.000000 0.000000 -0.268473 0.000000 0.000000 0.000000 10.227435
1.865050 0.000000 0.000000 1.553708 0.000000 0.000000 -0.219614 0.000000 0.000000 0.000000 10.272017
1.974759 0.000000 0.000000 1.532461 0.000000 0.000000 -0.167431 0.000000 0.000000 0.000000 10.287097
2.084468 0.000000 0.000000 1.516964 0.000000 0.000000 -0.115433 0.000000 0.000000 0.000000 10.268036
2.194176 0.000000 0.000000 1.506979 0.000000 0.000000 -0.067723 0.000000 0.000000 0.000000 10.206875
2.303885 0.000000 0.000000 1.501773 0.000000 0.000000 -0.028969 0.000000 0.000000 0.000000 10.108440
2.413594 0.000000 0.000000 1.500120 0.000000 0.000000 -0.004444 0.000000 0.000000 0.000000 9.929330
2.523303 0.000000 0.000000 1.500000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
