Generated trajectory:
Group: 9 
ID: 15 
Name: down_short_z_21 
finalTime: 1.342653  
Cost: 2.785415  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 3.000000 0.000000 0.000000 -2.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 3.000000 0.000000 0.000000 -2.000000 0.000000 0.000000 0.000000 9.806000
0.103281 0.000000 0.000000 2.793650 0.000000 0.000000 -1.991737 0.000000 0.000000 0.000000 10.047809
0.206562 0.000000 0.000000 2.589986 0.000000 0.000000 -1.945788 0.000000 0.000000 0.000000 10.417051
0.309843 0.000000 0.000000 2.392717 0.000000 0.000000 -1.870159 0.000000 0.000000 0.000000 10.655068
0.413124 0.000000 0.000000 2.204447 0.000000 0.000000 -1.772515 0.000000 0.000000 0.000000 10.835336
0.516405 0.000000 0.000000 2.027086 0.000000 0.000000 -1.660184 0.000000 0.000000 0.000000 10.942335
0.619686 0.000000 0.000000 1.861781 0.000000 0.000000 -1.540151 0.000000 0.000000 0.000000 10.984405
0.722967 0.000000 0.000000 1.708985 0.000000 0.000000 -1.419064 0.000000 0.000000 0.000000 10.963438
0.826248 0.000000 0.000000 1.568475 0.000000 0.000000 -1.303231 0.000000 0.000000 0.000000 10.883242
0.929529 0.000000 0.000000 1.439400 0.000000 0.000000 -1.198620 0.000000 0.000000 0.000000 10.746423
1.032810 0.000000 0.000000 1.320301 0.000000 0.000000 -1.110991 0.000000 0.000000 0.000000 10.554664
1.136091 0.000000 0.000000 1.209149 0.000000 0.000000 -1.045369 0.000000 0.000000 0.000000 10.325988
1.239372 0.000000 0.000000 1.103456 0.000000 0.000000 -1.006836 0.000000 0.000000 0.000000 10.006363
1.342653 0.000000 0.000000 1.000000 0.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 9.806000
