Generated trajectory:
Group: 9 
ID: 7 
Name: horizontal_diagonal_second_quadrant_12 
finalTime: 0.944352  
Cost: 1.239772  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 
To: -1.000000 1.000000 2.000000 -1.410000 1.410000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.094435 -0.066786 0.066787 2.000022 -0.708658 0.708697 0.000990 -0.009590 -0.009432 0.000000 9.839635
0.188870 -0.134642 0.134659 2.000326 -0.735402 0.735747 0.005862 -0.053692 -0.053433 0.000000 9.892612
0.283306 -0.207156 0.207209 2.001090 -0.808014 0.808260 0.009595 -0.101729 -0.102822 0.000000 9.922679
0.377741 -0.288537 0.288584 2.001948 -0.921119 0.920766 0.007460 -0.137695 -0.139559 0.000000 9.939729
0.472176 -0.381887 0.381887 2.002328 -1.058111 1.057567 0.000054 -0.152493 -0.154142 0.000000 9.949002
0.566611 -0.488407 0.488371 2.001959 -1.195847 1.195705 -0.007353 -0.140451 -0.141279 0.000000 9.944610
0.661046 -0.607010 0.606981 2.001103 -1.310380 1.310605 -0.009673 -0.104322 -0.104749 0.000000 9.925900
0.755482 -0.734593 0.734585 2.000330 -1.383754 1.383919 -0.005942 -0.053724 -0.053995 0.000000 9.893936
0.849917 -0.866820 0.866819 2.000022 -1.409382 1.409401 -0.000994 -0.008484 -0.008559 0.000000 9.839671
0.944352 -1.000000 1.000000 2.000000 -1.410000 1.410000 -0.000000 0.000000 -0.000000 0.000000 9.806000
