Generated trajectory:
Group: 0 
ID: 0 
Name: howering 
finalTime: 1.000000  
Cost: 1.000000  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 2.000000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100000 0.000000 0.000000 1.999997 0.000000 0.000000 -0.000055 0.000000 0.000000 0.000000 9.806137
0.200000 0.000000 0.000000 1.999990 0.000000 0.000000 -0.000087 0.000000 0.000000 0.000000 9.806455
0.300000 0.000000 0.000000 1.999981 0.000000 0.000000 -0.000084 0.000000 0.000000 0.000000 9.806796
0.400000 0.000000 0.000000 1.999974 0.000000 0.000000 -0.000051 0.000000 0.000000 0.000000 9.807045
0.500000 0.000000 0.000000 1.999971 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.807135
0.600000 0.000000 0.000000 1.999974 0.000000 0.000000 0.000051 0.000000 0.000000 0.000000 9.807045
0.700000 0.000000 0.000000 1.999981 0.000000 0.000000 0.000084 0.000000 0.000000 0.000000 9.806796
0.800000 0.000000 0.000000 1.999990 0.000000 0.000000 0.000087 0.000000 0.000000 0.000000 9.806455
0.900000 0.000000 0.000000 1.999997 0.000000 0.000000 0.000055 0.000000 0.000000 0.000000 9.806137
1.000000 0.000000 0.000000 2.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
