Generated trajectory:
Group: 10 
ID: 25 
Name: down_short_z_55 
finalTime: 1.000073  
Cost: 1.000117  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 6.000000 0.000000 0.000000 -5.000000 
To: 0.000000 0.000000 1.000000 0.000000 0.000000 -5.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 6.000000 0.000000 0.000000 -5.000000 0.000000 0.000000 0.000000 9.806000
0.100007 0.000000 0.000000 5.499962 0.000000 0.000000 -5.000000 0.000000 0.000000 0.000000 9.807800
0.200015 0.000000 0.000000 4.999937 0.000000 0.000000 -4.999754 0.000000 0.000000 0.000000 9.809766
0.300022 0.000000 0.000000 4.499941 0.000000 0.000000 -4.999449 0.000000 0.000000 0.000000 9.809257
0.400029 0.000000 0.000000 3.999970 0.000000 0.000000 -4.999260 0.000000 0.000000 0.000000 9.807652
0.500036 0.000000 0.000000 3.500010 0.000000 0.000000 -4.999242 0.000000 0.000000 0.000000 9.805944
0.600044 0.000000 0.000000 3.000044 0.000000 0.000000 -4.999373 0.000000 0.000000 0.000000 9.804767
0.700051 0.000000 0.000000 2.500060 0.000000 0.000000 -4.999581 0.000000 0.000000 0.000000 9.804409
0.800058 0.000000 0.000000 2.000055 0.000000 0.000000 -4.999786 0.000000 0.000000 0.000000 9.804814
0.900065 0.000000 0.000000 1.500033 0.000000 0.000000 -4.999926 0.000000 0.000000 0.000000 9.805590
1.000073 0.000000 0.000000 1.000000 0.000000 0.000000 -5.000000 0.000000 0.000000 0.000000 9.806000
