Generated trajectory:
Group: 10 
ID: 9 
Name: horizontal_diagonal_forth_quadrant_25 
finalTime: 1.596341  
Cost: 1.656351  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.410000 -1.410000 0.000000 
To: 3.000000 -3.000000 2.000000 2.230000 -2.230000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.410000 -1.410000 0.000000 0.000000 0.000000 0.000000 9.806000
0.099771 0.140635 -0.140636 2.000013 1.409967 -1.409989 0.000575 0.005591 0.005508 0.000000 9.825215
0.199543 0.281866 -0.281877 2.000209 1.425424 -1.425649 0.003677 0.031525 0.031227 0.000000 9.853982
0.299314 0.426038 -0.426088 2.000754 1.469524 -1.470081 0.007082 0.061398 0.061182 0.000000 9.870803
0.399085 0.576027 -0.576147 2.001557 1.541360 -1.542183 0.008557 0.086997 0.087154 0.000000 9.882082
0.498857 0.734322 -0.734527 2.002366 1.634669 -1.635482 0.007200 0.104141 0.104924 0.000000 9.887357
0.598628 0.902628 -0.902897 2.002917 1.740438 -1.740867 0.003592 0.111771 0.113011 0.000000 9.888265
0.698399 1.081713 -1.081998 2.003057 1.849223 -1.849095 -0.000791 0.110343 0.111569 0.000000 9.885007
0.798171 1.271438 -1.271686 2.002781 1.952383 -1.951850 -0.004531 0.101218 0.101986 0.000000 9.877694
0.897942 1.470878 -1.471068 2.002207 2.043024 -2.042448 -0.006671 0.086255 0.086443 0.000000 9.868041
0.997713 1.678536 -1.678679 2.001513 2.116563 -2.116195 -0.006949 0.067588 0.067506 0.000000 9.857188
1.097485 1.892580 -1.892695 2.000870 2.170858 -2.170647 -0.005726 0.047622 0.047635 0.000000 9.846658
1.197256 2.111081 -2.111172 2.000397 2.206166 -2.205849 -0.003695 0.029027 0.029255 0.000000 9.836288
1.297027 2.332256 -2.332307 2.000130 2.225062 -2.224598 -0.001758 0.014557 0.014560 0.000000 9.825010
1.396799 2.554676 -2.554687 2.000022 2.231955 -2.231702 -0.000534 0.005312 0.004957 0.000000 9.815250
1.496570 2.777402 -2.777402 1.999999 2.232072 -2.232053 -0.000028 0.000724 0.000642 0.000000 9.808658
1.596341 3.000000 -3.000000 2.000000 2.230000 -2.230000 0.000000 -0.000000 0.000000 0.000000 9.806000
