Generated trajectory:
Group: 11 
ID: 14 
Name: horizontal_diagonal_forth_quadrant_left_1_11 
finalTime: 2.275508  
Cost: 2.526760  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 
To: 3.000000 -2.000000 2.000000 0.707100 -0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.707100 -0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.103432 0.073158 -0.073111 2.000012 0.709195 -0.706919 0.000516 0.002127 0.010929 0.000000 9.823045
0.206864 0.147810 -0.146459 2.000192 0.743097 -0.713318 0.003217 0.013544 0.061839 0.000000 9.856323
0.310297 0.228940 -0.221226 2.000651 0.835682 -0.735540 0.005123 0.031793 0.120627 0.000000 9.882629
0.413729 0.322608 -0.299250 2.001078 0.983761 -0.775920 0.002140 0.047851 0.169443 0.000000 9.901964
0.517161 0.433846 -0.382206 2.000902 1.172278 -0.829894 -0.006288 0.058061 0.199704 0.000000 9.919879
0.620593 0.565786 -0.471173 1.999689 1.380398 -0.891020 -0.017227 0.061599 0.208251 0.000000 9.935827
0.724025 0.719335 -0.566523 1.997402 1.586663 -0.952084 -0.026343 0.058040 0.196265 0.000000 9.947414
0.827457 0.893276 -0.667899 1.994428 1.771726 -1.006631 -0.030059 0.049243 0.166585 0.000000 9.954172
0.930890 1.084532 -0.774374 1.991439 1.918901 -1.050027 -0.026456 0.036550 0.122091 0.000000 9.958999
1.034322 1.288447 -0.884602 1.989204 2.014542 -1.078653 -0.015705 0.020697 0.066427 0.000000 9.962578
1.137754 1.499158 -0.996899 1.988349 2.049153 -1.089631 -0.000403 0.002508 0.004231 0.000000 9.963546
1.241186 1.710093 -1.109340 1.989130 2.018714 -1.081320 0.015156 -0.016352 -0.058858 0.000000 9.961671
1.344618 1.914594 -1.219940 1.991337 1.925689 -1.054363 0.026486 -0.033362 -0.116792 0.000000 9.957489
1.448050 2.106577 -1.326907 1.994355 1.778526 -1.011704 0.030542 -0.046717 -0.164369 0.000000 9.951337
1.551483 2.281109 -1.428838 1.997381 1.590947 -0.957844 0.026742 -0.055159 -0.196437 0.000000 9.942769
1.654915 2.434912 -1.524852 1.999688 1.381003 -0.898262 0.017225 -0.057972 -0.208978 0.000000 9.932179
1.758347 2.566759 -1.614669 2.000894 1.170208 -0.839028 0.006241 -0.054778 -0.198947 0.000000 9.918237
1.861779 2.677727 -1.698633 2.001075 0.980848 -0.786015 -0.001993 -0.046223 -0.167540 0.000000 9.899118
1.965211 2.771116 -1.777661 2.000664 0.833462 -0.744394 -0.005023 -0.032954 -0.117679 0.000000 9.877413
2.068643 2.852098 -1.853156 2.000202 0.742521 -0.718203 -0.003345 -0.016595 -0.058550 0.000000 9.854137
2.172076 2.926779 -1.926812 2.000013 0.710101 -0.708475 -0.000548 -0.002586 -0.009120 0.000000 9.823884
2.275508 3.000000 -2.000000 2.000000 0.707100 -0.707100 -0.000000 -0.000000 -0.000000 0.000000 9.806000
