Generated trajectory:
Group: 11 
ID: 19 
Name: forward_x_parallell_neg2_y_11 
finalTime: 2.420538  
Cost: 2.770713  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 
To: 3.000000 -2.000000 2.000000 1.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.105241 0.105208 -0.000076 2.000023 0.999990 -0.003576 0.000917 0.013565 0.003955 0.000000 9.834380
0.210482 0.210893 -0.002166 2.000333 1.011689 -0.047192 0.005285 0.076139 0.022334 0.000000 9.881058
0.315722 0.318916 -0.012621 2.001061 1.044841 -0.163890 0.007661 0.147584 0.043606 0.000000 9.917438
0.420963 0.431529 -0.039105 2.001687 1.098300 -0.349826 0.002792 0.207636 0.061766 0.000000 9.950813
0.526204 0.550618 -0.088068 2.001354 1.166812 -0.587311 -0.010294 0.246192 0.073717 0.000000 9.979616
0.631445 0.677413 -0.163683 1.999361 1.243625 -0.852133 -0.027842 0.260271 0.078636 0.000000 10.004374
0.736685 0.812414 -0.267496 1.995554 1.321474 -1.118994 -0.043680 0.249887 0.075664 0.000000 10.023150
0.841926 0.955341 -0.398444 1.990433 1.393160 -1.364108 -0.052028 0.218205 0.065974 0.000000 10.035220
0.947167 1.105221 -0.553141 1.984990 1.452724 -1.567297 -0.049443 0.169300 0.051265 0.000000 10.044022
1.052408 1.260525 -0.726279 1.980433 1.495559 -1.712151 -0.035388 0.107034 0.033065 0.000000 10.051351
1.157649 1.419294 -0.911037 1.977849 1.518078 -1.786513 -0.012671 0.036283 0.012411 0.000000 10.054670
1.262889 1.579270 -1.099613 1.977875 1.518352 -1.784307 0.013147 -0.036782 -0.008913 0.000000 10.053517
1.368130 1.738089 -1.283930 1.980502 1.496149 -1.706164 0.035739 -0.106726 -0.029996 0.000000 10.049180
1.473371 1.893448 -1.456278 1.985094 1.453111 -1.558333 0.049748 -0.168865 -0.048740 0.000000 10.041705
1.578612 2.043348 -1.609889 1.990565 1.393195 -1.352462 0.052245 -0.217980 -0.063283 0.000000 10.031225
1.683852 2.186284 -1.739486 1.995696 1.321728 -1.105093 0.043604 -0.249581 -0.072402 0.000000 10.016133
1.789093 2.321352 -1.841760 1.999474 1.244713 -0.837009 0.027396 -0.259286 -0.075161 0.000000 9.996359
1.894334 2.448306 -1.915776 2.001411 1.168654 -0.572268 0.009726 -0.244391 -0.070799 0.000000 9.973526
1.999575 2.567612 -1.963228 2.001693 1.100572 -0.336474 -0.003145 -0.204431 -0.059130 0.000000 9.945494
2.104816 2.680479 -1.988480 2.001045 1.047339 -0.154078 -0.007732 -0.143241 -0.041415 0.000000 9.912655
2.210056 2.788765 -1.998142 2.000322 1.014142 -0.042065 -0.005170 -0.071255 -0.020434 0.000000 9.877699
2.315297 2.894687 -1.999942 2.000021 1.001855 -0.002795 -0.000870 -0.011050 -0.003165 0.000000 9.832883
2.420538 3.000000 -2.000000 2.000000 1.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
