Generated trajectory:
Group: 11 
ID: 23 
Name: forward_y_parallell_neg1_x_11 
finalTime: 1.959331  
Cost: 2.263213  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 
To: -1.000000 2.000000 2.000000 0.000000 1.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.097967 -0.000059 0.097921 2.000012 -0.002968 0.999148 0.000541 -0.000521 -0.012130 0.000000 9.824699
0.195933 -0.001679 0.195814 2.000184 -0.039305 0.999751 0.003107 -0.003013 -0.068218 0.000000 9.855372
0.293900 -0.009762 0.293899 2.000563 -0.135739 1.003144 0.004003 -0.005942 -0.130483 0.000000 9.877584
0.391866 -0.030059 0.392442 2.000804 -0.286448 1.008944 0.000001 -0.007919 -0.179130 0.000000 9.897781
0.489833 -0.067062 0.491636 2.000417 -0.472953 1.016316 -0.008380 -0.009183 -0.204046 0.000000 9.915689
0.587799 -0.123095 0.591598 1.999137 -0.670761 1.024465 -0.017493 -0.009461 -0.202604 0.000000 9.929134
0.685766 -0.198041 0.692354 1.997114 -0.855043 1.032379 -0.022867 -0.008711 -0.176244 0.000000 9.937280
0.783732 -0.289467 0.793836 1.994879 -1.003975 1.039108 -0.021491 -0.007061 -0.129834 0.000000 9.943557
0.881699 -0.393029 0.895886 1.993144 -1.100316 1.043875 -0.012863 -0.004717 -0.068490 0.000000 9.947904
0.979666 -0.502956 0.998282 1.992507 -1.132631 1.046099 0.000248 -0.001904 0.000507 0.000000 9.948436
1.077632 -0.612728 1.100759 1.993190 -1.097185 1.045520 0.013284 0.000967 0.069323 0.000000 9.946791
1.175599 -0.715846 1.203046 1.994958 -0.998131 1.042266 0.021732 0.003545 0.130431 0.000000 9.942522
1.273565 -0.806575 1.304899 1.997208 -0.846645 1.036735 0.022924 0.005618 0.177122 0.000000 9.935853
1.371532 -0.880592 1.406123 1.999222 -0.660403 1.029556 0.017240 0.006897 0.202623 0.000000 9.925895
1.469498 -0.935573 1.506600 2.000466 -0.462075 1.021658 0.007933 0.007105 0.202893 0.000000 9.912730
1.567465 -0.971549 1.606311 2.000812 -0.276633 1.014091 -0.000318 0.006289 0.176608 0.000000 9.895839
1.665431 -0.991000 1.705333 2.000554 -0.128477 1.007724 -0.004052 0.004685 0.127035 0.000000 9.875337
1.763398 -0.998535 1.803820 2.000177 -0.035489 1.003282 -0.003037 0.002396 0.064315 0.000000 9.853075
1.861365 -0.999954 1.901984 2.000011 -0.002386 1.001069 -0.000514 0.000375 0.010114 0.000000 9.823743
1.959331 -1.000000 2.000000 2.000000 0.000000 1.000000 0.000000 -0.000000 0.000000 0.000000 9.806000
