Generated trajectory:
Group: 11 
ID: 7 
Name: horizontal_diagonal_second_quadrant_left_2_11 
finalTime: 2.532335  
Cost: 2.847369  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 
To: -4.000000 2.000000 2.000000 -0.707100 0.707100 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 0.000000 9.806000
0.101293 -0.071649 0.071594 2.000018 -0.709355 0.706678 0.000769 -0.001160 -0.011730 0.000000 9.830866
0.202587 -0.144846 0.143276 2.000275 -0.745242 0.709560 0.004634 -0.006532 -0.066914 0.000000 9.871738
0.303880 -0.224805 0.215551 2.000924 -0.844574 0.718530 0.007617 -0.012791 -0.133117 0.000000 9.904174
0.405174 -0.318107 0.289048 2.001638 -1.007561 0.733619 0.005321 -0.018530 -0.192670 0.000000 9.933964
0.506467 -0.430676 0.364346 2.001754 -1.222243 0.753815 -0.004185 -0.022757 -0.235983 0.000000 9.958566
0.607760 -0.566831 0.441875 2.000601 -1.469875 0.777358 -0.019195 -0.025067 -0.258916 0.000000 9.979915
0.709054 -0.728869 0.521872 1.997825 -1.729818 0.802200 -0.035365 -0.025287 -0.260709 0.000000 9.999460
0.810347 -0.917001 0.604365 1.993570 -1.981867 0.826336 -0.047629 -0.023683 -0.242759 0.000000 10.015236
0.911641 -1.129481 0.689194 1.988439 -2.207707 0.848024 -0.052171 -0.020468 -0.207854 0.000000 10.025622
1.012934 -1.362837 0.776028 1.983327 -2.391709 0.865691 -0.047115 -0.015827 -0.159174 0.000000 10.032846
1.114227 -1.612172 0.864394 1.979210 -2.521411 0.878133 -0.032798 -0.010282 -0.100361 0.000000 10.037672
1.215521 -1.871509 0.953726 1.976909 -2.588098 0.884669 -0.011849 -0.004289 -0.035331 0.000000 10.039397
1.316814 -2.134199 1.043408 1.976891 -2.587209 0.885027 0.011498 0.001826 0.031920 0.000000 10.038209
1.418108 -2.393357 1.132811 1.979157 -2.518747 0.879195 0.032457 0.007837 0.097082 0.000000 10.034415
1.519401 -2.642334 1.221323 1.983241 -2.387330 0.867496 0.046819 0.013344 0.156068 0.000000 10.028249
1.620694 -2.875164 1.308378 1.988327 -2.201725 0.850583 0.051942 0.018101 0.205006 0.000000 10.019528
1.721988 -3.086966 1.393496 1.993435 -1.974514 0.829428 0.047397 0.021712 0.240047 0.000000 10.008007
1.823281 -3.274303 1.476313 1.997668 -1.721568 0.805424 0.035182 0.023725 0.257894 0.000000 9.993078
1.924575 -3.435486 1.556634 2.000435 -1.461386 0.780531 0.019240 0.023522 0.255875 0.000000 9.974327
2.025868 -3.570803 1.634487 2.001607 -1.214311 0.757075 0.004508 0.021126 0.232568 0.000000 9.953013
2.127161 -3.682636 1.710117 2.001536 -1.001135 0.736877 -0.004779 0.017243 0.188707 0.000000 9.926810
2.228455 -3.775404 1.783929 2.000875 -0.840567 0.721417 -0.007176 0.011880 0.128796 0.000000 9.896440
2.329748 -3.855097 1.856466 2.000260 -0.744014 0.711822 -0.004402 0.005808 0.062674 0.000000 9.866930
2.431042 -3.928292 1.928335 2.000017 -0.710181 0.708035 -0.000720 0.000896 0.009694 0.000000 9.829323
2.532335 -4.000000 2.000000 2.000000 -0.707100 0.707100 -0.000000 -0.000000 0.000000 0.000000 9.806000
