Generated trajectory:
Group: 12 
ID: 10 
Name: smooth_fwdxrevy_upz_2 
finalTime: 2.255744  
Cost: 3.927295  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 1.414200 -1.414200 0.000000 
To: 2.000000 -2.000000 4.000000 -0.000000 0.000000 2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 1.414200 -1.414200 0.000000 0.000000 0.000000 0.000000 9.806000
0.102534 0.144937 -0.144938 2.000058 1.413141 -1.413190 0.002333 0.001708 0.001517 0.000000 9.876058
0.205068 0.289937 -0.289965 2.000901 1.416296 -1.416885 0.016371 0.008575 0.007735 0.000000 10.009160
0.307601 0.435571 -0.435707 2.003869 1.425004 -1.426508 0.043854 0.011805 0.011011 0.000000 10.145779
0.410135 0.582175 -0.582497 2.010404 1.434130 -1.436166 0.086190 0.008313 0.008145 0.000000 10.296687
0.512669 0.729450 -0.729977 2.022088 1.436971 -1.438765 0.144404 -0.001672 -0.001045 0.000000 10.453078
0.615203 0.876404 -0.877065 2.040565 1.426786 -1.427493 0.218629 -0.017139 -0.015816 0.000000 10.609266
0.717737 1.021410 -1.022063 2.067443 1.398309 -1.397408 0.308130 -0.035339 -0.033840 0.000000 10.764403
0.820271 1.162429 -1.162907 2.104244 1.348768 -1.346297 0.411959 -0.053950 -0.052783 0.000000 10.914911
0.922804 1.297271 -1.297434 2.152353 1.277994 -1.274446 0.528353 -0.070949 -0.070488 0.000000 11.051248
1.025338 1.423834 -1.423611 2.212948 1.187619 -1.183769 0.655181 -0.085781 -0.086199 0.000000 11.170175
1.127872 1.540220 -1.539622 2.286995 1.079919 -1.076579 0.790373 -0.098368 -0.099604 0.000000 11.268863
1.230406 1.644798 -1.643912 2.375239 0.957857 -0.955660 0.931713 -0.108294 -0.110124 0.000000 11.342290
1.332940 1.736282 -1.735245 2.478189 0.825156 -0.824442 1.076837 -0.115320 -0.117428 0.000000 11.385555
1.435474 1.813781 -1.812748 2.596102 0.685728 -0.686490 1.223090 -0.119580 -0.121627 0.000000 11.394257
1.538007 1.876819 -1.875927 2.728947 0.543896 -0.545805 1.367622 -0.120322 -0.121980 0.000000 11.364274
1.640541 1.925419 -1.924758 2.876396 0.405100 -0.407583 1.507424 -0.116498 -0.117509 0.000000 11.290137
1.743075 1.960212 -1.959806 3.037794 0.275704 -0.278089 1.639106 -0.107206 -0.107461 0.000000 11.167592
1.845609 1.982523 -1.982331 3.212118 0.162922 -0.164651 1.758876 -0.090937 -0.090568 0.000000 10.993005
1.948143 1.994486 -1.994427 3.397916 0.075385 -0.076241 1.861979 -0.066075 -0.065465 0.000000 10.756155
2.050676 1.999111 -1.999102 3.593161 0.020740 -0.020950 1.942167 -0.034410 -0.034038 0.000000 10.473418
2.153210 1.999973 -1.999973 3.795157 0.001356 -0.001364 1.991169 -0.005446 -0.005405 0.000000 10.066300
2.255744 2.000000 -2.000000 4.000000 -0.000000 0.000000 2.000000 0.000000 -0.000000 0.000000 9.806000
