Generated trajectory:
Group: 12 
ID: 20 
Name: forward_smooth_straighty_right_2 
finalTime: 1.802752  
Cost: 2.026419  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 
To: 2.000000 2.000000 2.000000 2.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100153 0.000046 0.200195 2.000029 0.002250 1.997458 0.001223 0.002153 0.008978 0.000000 9.844616
0.200306 0.001307 0.399891 2.000445 0.030068 1.988502 0.007916 0.013450 0.051341 0.000000 9.907358
0.300459 0.007721 0.597989 2.001694 0.106566 1.964233 0.017074 0.032492 0.102736 0.000000 9.954932
0.400612 0.024328 0.792593 2.003823 0.232987 1.917674 0.024954 0.057676 0.150286 0.000000 9.997447
0.500764 0.055807 0.981189 2.006555 0.401712 1.843587 0.028822 0.086887 0.187187 0.000000 10.033288
0.600917 0.105791 1.160851 2.009429 0.600286 1.738949 0.027713 0.117913 0.210975 0.000000 10.061891
0.701070 0.176588 1.328472 2.011945 0.815045 1.603277 0.021807 0.148360 0.221197 0.000000 10.080131
0.801223 0.269132 1.481004 2.013671 1.032398 1.437961 0.012176 0.176758 0.218482 0.000000 10.090859
0.901376 0.383092 1.615642 2.014318 1.241110 1.246937 0.000554 0.199539 0.205872 0.000000 10.096075
1.001529 0.517149 1.730153 2.013779 1.432355 1.037452 -0.011187 0.213962 0.184685 0.000000 10.092756
1.101682 0.669183 1.823154 2.012135 1.599191 0.819153 -0.021168 0.217809 0.157543 0.000000 10.082605
1.201835 0.836527 1.894319 2.009660 1.737652 0.603456 -0.027570 0.209467 0.127370 0.000000 10.063872
1.301987 1.016227 1.944547 2.006767 1.845722 0.403293 -0.029326 0.187510 0.095803 0.000000 10.037024
1.402140 1.205213 1.976086 2.003968 1.923203 0.232633 -0.025694 0.151287 0.065199 0.000000 10.003167
1.502293 1.400487 1.992583 2.001767 1.971758 0.104866 -0.017730 0.103242 0.037486 0.000000 9.959201
1.602446 1.599337 1.998811 2.000466 1.995546 0.028329 -0.008283 0.050421 0.015621 0.000000 9.910809
1.702599 1.799605 1.999963 2.000031 2.001456 0.001880 -0.001280 0.007793 0.002268 0.000000 9.846288
1.802752 2.000000 2.000000 2.000000 2.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
