Generated trajectory:
Group: 12 
ID: 24 
Name: fwd_smooth_straightx_upz_2 
finalTime: 2.169061  
Cost: 3.730640  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 
To: 2.000000 0.000000 4.000000 -0.000000 0.000000 2.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.098594 0.197063 0.000000 2.000091 1.996652 0.000000 0.003741 0.000000 -0.005554 0.000000 9.921702
0.197187 0.393192 0.000000 2.001363 1.977412 0.000000 0.025276 0.000000 -0.031912 0.000000 10.121441
0.295781 0.585944 0.000000 2.005616 1.927037 0.000000 0.063593 0.000000 -0.064368 0.000000 10.295655
0.394375 0.772079 0.000000 2.014408 1.843367 0.000000 0.117201 0.000000 -0.094757 0.000000 10.470323
0.492968 0.948457 0.000000 2.029186 1.730119 0.000000 0.184818 0.000000 -0.118623 0.000000 10.635118
0.591562 1.112496 0.000000 2.051287 1.594354 0.000000 0.265660 0.000000 -0.134654 0.000000 10.789629
0.690156 1.262366 0.000000 2.081990 1.444047 0.000000 0.359244 0.000000 -0.142978 0.000000 10.930140
0.788749 1.397013 0.000000 2.122526 1.286684 0.000000 0.465018 0.000000 -0.144922 0.000000 11.055136
0.887343 1.516064 0.000000 2.174064 1.128642 0.000000 0.582263 0.000000 -0.141795 0.000000 11.161838
0.985937 1.619700 0.000000 2.237673 0.974576 0.000000 0.709599 0.000000 -0.135762 0.000000 11.246775
1.084530 1.708463 0.000000 2.314259 0.827347 0.000000 0.845171 0.000000 -0.127923 0.000000 11.308819
1.183124 1.783137 0.000000 2.404528 0.689043 0.000000 0.986760 0.000000 -0.118970 0.000000 11.344144
1.281718 1.844654 0.000000 2.508940 0.560476 0.000000 1.131547 0.000000 -0.110251 0.000000 11.350303
1.380311 1.893983 0.000000 2.627663 0.441874 0.000000 1.276545 0.000000 -0.101347 0.000000 11.325694
1.478905 1.932135 0.000000 2.760559 0.333901 0.000000 1.418503 0.000000 -0.091984 0.000000 11.267022
1.577499 1.960206 0.000000 2.907159 0.237595 0.000000 1.553936 0.000000 -0.081547 0.000000 11.171991
1.676092 1.979425 0.000000 3.066640 0.154677 0.000000 1.679134 0.000000 -0.069262 0.000000 11.037657
1.774686 1.991226 0.000000 3.237796 0.087571 0.000000 1.790124 0.000000 -0.054359 0.000000 10.862678
1.873280 1.997303 0.000000 3.419023 0.038970 0.000000 1.882597 0.000000 -0.036821 0.000000 10.640025
1.971873 1.999572 0.000000 3.608251 0.010418 0.000000 1.951828 0.000000 -0.018100 0.000000 10.383801
2.070467 1.999987 0.000000 3.802991 0.000679 0.000000 1.992720 0.000000 -0.002821 0.000000 10.029332
2.169061 2.000000 0.000000 4.000000 -0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 9.806000
