Generated trajectory:
Group: 13 
ID: 10 
Name: rev_smooth_straightx_half_right 
finalTime: 1.829131  
Cost: 1.984981  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 
To: -2.000000 1.000000 2.000000 -0.707100 0.707100 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.101618 -0.101599 0.000042 2.000012 -1.000574 0.002029 0.000512 -0.007980 -0.006258 0.000000 9.823140
0.203237 -0.203960 0.001185 2.000182 -1.018910 0.026661 0.002987 -0.044394 -0.034918 0.000000 9.846705
0.304855 -0.309757 0.006841 2.000573 -1.068312 0.091254 0.004263 -0.083825 -0.064770 0.000000 9.860002
0.406473 -0.421905 0.020938 2.000942 -1.141875 0.191324 0.002458 -0.114518 -0.082840 0.000000 9.872121
0.508092 -0.542196 0.046552 2.000985 -1.226254 0.315749 -0.001890 -0.132308 -0.086779 0.000000 9.880642
0.609710 -0.670999 0.085478 2.000544 -1.306944 0.451016 -0.006595 -0.136279 -0.075717 0.000000 9.888070
0.711329 -0.807205 0.138108 1.999729 -1.369683 0.583123 -0.008870 -0.126137 -0.050913 0.000000 9.893659
0.812947 -0.948328 0.203424 1.998873 -1.401823 0.698622 -0.007333 -0.103645 -0.014800 0.000000 9.894025
0.914565 -1.090758 0.279164 1.998346 -1.394371 0.786834 -0.002695 -0.072586 0.027203 0.000000 9.890142
1.016184 -1.230284 0.362200 1.998350 -1.344901 0.841668 0.002671 -0.038233 0.067899 0.000000 9.883865
1.117802 -1.362819 0.449071 1.998824 -1.258062 0.862666 0.006178 -0.005964 0.100940 0.000000 9.876469
1.219420 -1.485056 0.536508 1.999495 -1.144362 0.853769 0.006473 0.020539 0.121551 0.000000 9.868620
1.321039 -1.594945 0.621860 2.000043 -1.017544 0.823487 0.003954 0.036108 0.126981 0.000000 9.858973
1.422657 -1.692022 0.703559 2.000269 -0.895557 0.783983 0.000593 0.039249 0.112402 0.000000 9.847597
1.524275 -1.777738 0.781273 2.000213 -0.796473 0.746685 -0.001339 0.032493 0.082370 0.000000 9.836942
1.625894 -1.855103 0.855663 2.000070 -0.732856 0.719680 -0.001183 0.018937 0.042442 0.000000 9.826335
1.727512 -1.928076 0.928094 2.000003 -0.709457 0.708582 -0.000185 0.003125 0.006703 0.000000 9.813368
1.829131 -2.000000 1.000000 2.000000 -0.707100 0.707100 0.000000 0.000000 -0.000000 0.000000 9.806000
