Generated trajectory:
Group: 14 
ID: 5 
Name: smooth_revxrevy_half_right_2 
finalTime: 1.862582  
Cost: 2.136764  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -1.414200 -1.414200 0.000000 
To: -3.000000 -2.000000 2.000000 -2.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -1.414200 -1.414200 0.000000 0.000000 0.000000 0.000000 9.806000
0.103477 -0.146253 -0.146305 1.999991 -1.412328 -1.414837 -0.000276 0.008122 0.001585 0.000000 9.799954
0.206954 -0.292132 -0.293607 1.999902 -1.406110 -1.438315 -0.001663 0.043366 0.008028 0.000000 9.796603
0.310430 -0.437054 -0.445228 1.999608 -1.394355 -1.497270 -0.004167 0.073179 0.011462 0.000000 9.806278
0.413907 -0.580674 -0.604189 1.999039 -1.381898 -1.576783 -0.006636 0.082774 0.009297 0.000000 9.824586
0.517384 -0.723227 -0.771456 1.998322 -1.374801 -1.653573 -0.006604 0.067424 0.000883 0.000000 9.848881
0.620861 -0.865587 -0.945449 1.997827 -1.379059 -1.702909 -0.002146 0.029460 -0.012702 0.000000 9.877875
0.724337 -1.009170 -1.122230 1.998027 -1.398974 -1.704679 0.006514 -0.024567 -0.029405 0.000000 9.909712
0.827814 -1.155736 -1.296146 1.999216 -1.436971 -1.646093 0.016319 -0.086785 -0.047636 0.000000 9.941744
0.931291 -1.307186 -1.460665 2.001294 -1.493116 -1.523165 0.022976 -0.148393 -0.064770 0.000000 9.973048
1.034768 -1.465278 -1.609309 2.003737 -1.564746 -1.340731 0.022935 -0.201611 -0.078581 0.000000 10.000596
1.138244 -1.631393 -1.736505 2.005768 -1.647272 -1.111279 0.015098 -0.239481 -0.087269 0.000000 10.020362
1.241721 -1.806360 -1.838320 2.006665 -1.734766 -0.853796 0.001663 -0.256150 -0.089270 0.000000 10.031189
1.345198 -1.990338 -1.913054 2.006102 -1.820182 -0.592138 -0.012061 -0.247503 -0.083205 0.000000 10.032256
1.448675 -2.182707 -1.961648 2.004368 -1.895608 -0.353194 -0.020102 -0.211866 -0.068980 0.000000 10.017811
1.552151 -2.382048 -1.987872 2.002258 -1.953901 -0.163999 -0.019164 -0.151926 -0.048791 0.000000 9.984438
1.655628 -2.586294 -1.998032 2.000660 -1.989675 -0.045261 -0.010868 -0.077198 -0.024689 0.000000 9.939405
1.759105 -2.792959 -1.999939 2.000046 -2.001104 -0.003012 -0.001819 -0.012082 -0.003873 0.000000 9.860880
1.862582 -3.000000 -2.000000 2.000000 -2.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 9.806000
