Generated trajectory:
Group: 14 
ID: 9 
Name: forward_smooth_straightx_half_left_2 
finalTime: 1.860585  
Cost: 2.126361  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 
To: 3.000000 -2.000000 2.000000 1.414200 -1.414200 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.103366 0.206601 -0.000079 2.000046 1.996791 -0.003793 0.001823 0.014627 -0.004412 0.000000 9.861205
0.206732 0.412354 -0.002260 2.000651 1.980718 -0.050087 0.010602 0.081570 -0.024791 0.000000 9.936547
0.310097 0.615264 -0.013107 2.002175 1.941482 -0.172497 0.017953 0.155630 -0.047637 0.000000 9.979515
0.413463 0.812993 -0.040337 2.004108 1.881282 -0.364574 0.018016 0.215048 -0.066149 0.000000 10.017241
0.516829 1.003672 -0.090117 2.005616 1.806273 -0.604127 0.010006 0.247834 -0.077667 0.000000 10.034374
0.620195 1.186164 -0.165908 2.006008 1.724180 -0.863479 -0.002814 0.254990 -0.081115 0.000000 10.032059
0.723561 1.360122 -0.268429 2.005049 1.642231 -1.117209 -0.015248 0.238029 -0.077795 0.000000 10.015873
0.826927 1.525865 -0.395886 2.003029 1.566068 -1.342536 -0.022654 0.200808 -0.069175 0.000000 9.995930
0.930292 1.684250 -0.544367 2.000645 1.500681 -1.521404 -0.022149 0.148467 -0.055899 0.000000 9.973658
1.033658 1.836609 -0.708371 1.998682 1.449888 -1.641406 -0.015003 0.087700 -0.040419 0.000000 9.942610
1.137024 1.984538 -0.881503 1.997638 1.415014 -1.697997 -0.005114 0.026695 -0.024889 0.000000 9.907594
1.240390 2.129675 -1.057351 1.997568 1.395717 -1.695358 0.003162 -0.026508 -0.010284 0.000000 9.871043
1.343756 2.273556 -1.230363 1.998132 1.390246 -1.645894 0.006969 -0.063791 0.001713 0.000000 9.841438
1.447121 2.417423 -1.396714 1.998871 1.394604 -1.570581 0.006818 -0.077100 0.008837 0.000000 9.821870
1.550487 2.562020 -1.555024 1.999476 1.403501 -1.494358 0.004751 -0.066525 0.010846 0.000000 9.806149
1.653853 2.707563 -1.706376 1.999847 1.412103 -1.439082 0.002433 -0.037293 0.008067 0.000000 9.791343
1.757219 2.853752 -1.853714 1.999987 1.415307 -1.417153 0.000449 -0.006013 0.001433 0.000000 9.794837
1.860585 3.000000 -2.000000 2.000000 1.414200 -1.414200 -0.000000 -0.000000 -0.000000 0.000000 9.806000
