Generated trajectory:
Group: 1 
ID: 3 
Name: backward_short_x 
finalTime: 1.952647  
Cost: 2.262632  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 0.000000 2.000000 -0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.097632 -0.000059 0.000000 2.000012 -0.002976 0.000000 0.000544 0.000000 -0.012205 0.000000 9.824836
0.195265 -0.001678 0.000000 2.000184 -0.039420 0.000000 0.003122 0.000000 -0.068660 0.000000 9.855861
0.292897 -0.009758 0.000000 2.000564 -0.136168 0.000000 0.004032 0.000000 -0.131340 0.000000 9.878661
0.390529 -0.030049 0.000000 2.000808 -0.287325 0.000000 0.000052 0.000000 -0.180232 0.000000 9.899413
0.488162 -0.067038 0.000000 2.000427 -0.474400 0.000000 -0.008348 0.000000 -0.205391 0.000000 9.916895
0.585794 -0.123053 0.000000 1.999149 -0.672839 0.000000 -0.017585 0.000000 -0.203914 0.000000 9.929591
0.683427 -0.197973 0.000000 1.997118 -0.857666 0.000000 -0.023054 0.000000 -0.177381 0.000000 9.938715
0.781059 -0.289372 0.000000 1.994874 -1.007211 0.000000 -0.021637 0.000000 -0.130957 0.000000 9.945369
0.878691 -0.392928 0.000000 1.993132 -1.104180 0.000000 -0.012992 0.000000 -0.069251 0.000000 9.948929
0.976324 -0.502876 0.000000 1.992487 -1.136813 0.000000 0.000184 0.000000 0.000391 0.000000 9.950199
1.073956 -0.612682 0.000000 1.993169 -1.101301 0.000000 0.013383 0.000000 0.069822 0.000000 9.949116
1.171588 -0.715829 0.000000 1.994946 -1.001729 0.000000 0.021913 0.000000 0.131573 0.000000 9.944165
1.269221 -0.806568 0.000000 1.997204 -0.849626 0.000000 0.023072 0.000000 0.178279 0.000000 9.937223
1.366853 -0.880593 0.000000 1.999223 -0.662725 0.000000 0.017341 0.000000 0.204101 0.000000 9.927986
1.464486 -0.935576 0.000000 2.000472 -0.463649 0.000000 0.008000 0.000000 0.204269 0.000000 9.914183
1.562118 -0.971551 0.000000 2.000818 -0.277577 0.000000 -0.000354 0.000000 0.177829 0.000000 9.896914
1.659750 -0.991001 0.000000 2.000557 -0.128900 0.000000 -0.004087 0.000000 0.127890 0.000000 9.876481
1.757383 -0.998535 0.000000 2.000178 -0.035607 0.000000 -0.003065 0.000000 0.064742 0.000000 9.853528
1.855015 -0.999954 0.000000 2.000011 -0.002395 0.000000 -0.000520 0.000000 0.010183 0.000000 9.823987
1.952647 -1.000000 0.000000 2.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 9.806000
