Generated trajectory:
Group: 3 
ID: 12 
Name: backward_short_y_10 
finalTime: 1.504153  
Cost: 1.648202  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 
To: 0.000000 -1.000000 2.000000 0.000000 -0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -1.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.100277 0.000000 -0.100249 1.999996 0.000000 -1.000092 -0.000107 0.004370 0.000000 0.000000 9.804646
0.200554 0.000000 -0.200967 1.999969 0.000000 -1.011581 -0.000501 0.021215 0.000000 0.000000 9.802817
0.300831 0.000000 -0.303554 1.999887 0.000000 -1.035307 -0.001074 0.026214 0.000000 0.000000 9.806873
0.401107 0.000000 -0.408481 1.999786 0.000000 -1.055418 -0.000672 0.013836 0.000000 0.000000 9.820534
0.501384 0.000000 -0.514520 1.999819 0.000000 -1.054585 0.001645 -0.016051 0.000000 0.000000 9.840029
0.601661 0.000000 -0.618754 2.000162 0.000000 -1.017254 0.005284 -0.058953 0.000000 0.000000 9.860481
0.701938 0.000000 -0.717006 2.000854 0.000000 -0.934502 0.008179 -0.106444 0.000000 0.000000 9.879407
0.802215 0.000000 -0.804648 2.001699 0.000000 -0.806452 0.008020 -0.149290 0.000000 0.000000 9.894707
0.902492 0.000000 -0.877522 2.002327 0.000000 -0.642196 0.003952 -0.178521 0.000000 0.000000 9.908947
1.002769 0.000000 -0.932823 2.002425 0.000000 -0.459578 -0.002130 -0.185923 0.000000 0.000000 9.915302
1.103046 0.000000 -0.969848 2.001923 0.000000 -0.281689 -0.007467 -0.168811 0.000000 0.000000 9.909381
1.203322 0.000000 -0.990322 2.001063 0.000000 -0.133743 -0.008823 -0.126093 0.000000 0.000000 9.897893
1.303599 0.000000 -0.998411 2.000319 0.000000 -0.037554 -0.005401 -0.065978 0.000000 0.000000 9.877556
1.403876 0.000000 -0.999950 2.000021 0.000000 -0.002523 -0.000905 -0.010456 0.000000 0.000000 9.835103
1.504153 0.000000 -1.000000 2.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 9.806000
