Generated trajectory:
Group: 3 
ID: 4 
Name: up_short_z_01 
finalTime: 1.933761  
Cost: 2.402610  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 3.000000 0.000000 0.000000 1.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.107431 0.000000 0.000000 2.000120 0.000000 0.000000 0.004518 0.000000 0.000000 0.000000 9.933975
0.214862 0.000000 0.000000 2.001780 0.000000 0.000000 0.030012 0.000000 0.000000 0.000000 10.135780
0.322294 0.000000 0.000000 2.007184 0.000000 0.000000 0.073146 0.000000 0.000000 0.000000 10.278922
0.429725 0.000000 0.000000 2.018018 0.000000 0.000000 0.130726 0.000000 0.000000 0.000000 10.400558
0.537156 0.000000 0.000000 2.035679 0.000000 0.000000 0.199698 0.000000 0.000000 0.000000 10.492403
0.644587 0.000000 0.000000 2.061229 0.000000 0.000000 0.277150 0.000000 0.000000 0.000000 10.558309
0.752018 0.000000 0.000000 2.095432 0.000000 0.000000 0.360310 0.000000 0.000000 0.000000 10.599003
0.859449 0.000000 0.000000 2.138757 0.000000 0.000000 0.446551 0.000000 0.000000 0.000000 10.615770
0.966881 0.000000 0.000000 2.191399 0.000000 0.000000 0.533359 0.000000 0.000000 0.000000 10.609892
1.074312 0.000000 0.000000 2.253292 0.000000 0.000000 0.618404 0.000000 0.000000 0.000000 10.583220
1.181743 0.000000 0.000000 2.324129 0.000000 0.000000 0.699510 0.000000 0.000000 0.000000 10.536565
1.289174 0.000000 0.000000 2.403374 0.000000 0.000000 0.774572 0.000000 0.000000 0.000000 10.471102
1.396605 0.000000 0.000000 2.490270 0.000000 0.000000 0.841666 0.000000 0.000000 0.000000 10.388331
1.504037 0.000000 0.000000 2.583866 0.000000 0.000000 0.899005 0.000000 0.000000 0.000000 10.289946
1.611468 0.000000 0.000000 2.683025 0.000000 0.000000 0.944945 0.000000 0.000000 0.000000 10.175516
1.718899 0.000000 0.000000 2.786434 0.000000 0.000000 0.977976 0.000000 0.000000 0.000000 10.052857
1.826330 0.000000 0.000000 2.892655 0.000000 0.000000 0.996736 0.000000 0.000000 0.000000 9.898937
1.933761 0.000000 0.000000 3.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 9.806000
