Generated trajectory:
Group: 4 
ID: 13 
Name: vertical_rev_x_up_z_-101_000 
finalTime: 2.261395  
Cost: 2.544931  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 -0.707100 0.000000 0.707100 
To: -1.000000 0.000000 3.000000 0.000000 0.000000 0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 -0.707100 0.000000 0.707100 0.000000 0.000000 0.000000 9.806000
0.133023 -0.094003 0.000000 2.094071 -0.706321 0.000000 0.707481 0.000000 -0.000482 0.000000 9.816398
0.266046 -0.187989 0.000000 2.188295 -0.707138 0.000000 0.709099 0.000000 -0.002143 0.000000 9.813112
0.399070 -0.282188 0.000000 2.282581 -0.709087 0.000000 0.707638 0.000000 -0.001872 0.000000 9.774387
0.532093 -0.376549 0.000000 2.376265 -0.708974 0.000000 0.699557 0.000000 0.001165 0.000000 9.713852
0.665116 -0.470525 0.000000 2.468283 -0.702451 0.000000 0.682220 0.000000 0.008238 0.000000 9.636911
0.798139 -0.562916 0.000000 2.557276 -0.684268 0.000000 0.653822 0.000000 0.019486 0.000000 9.549774
0.931163 -0.651846 0.000000 2.641685 -0.649748 0.000000 0.613196 0.000000 0.034214 0.000000 9.460074
1.064186 -0.734910 0.000000 2.719867 -0.595699 0.000000 0.560233 0.000000 0.051019 0.000000 9.375051
1.197209 -0.809410 0.000000 2.790207 -0.521062 0.000000 0.495463 0.000000 0.067721 0.000000 9.299941
1.330232 -0.872742 0.000000 2.851232 -0.428659 0.000000 0.420571 0.000000 0.080296 0.000000 9.242330
1.463255 -0.922977 0.000000 2.901787 -0.325605 0.000000 0.338687 0.000000 0.085679 0.000000 9.208822
1.596279 -0.959332 0.000000 2.941222 -0.221791 0.000000 0.254225 0.000000 0.081830 0.000000 9.206079
1.729302 -0.982467 0.000000 2.969550 -0.128851 0.000000 0.172653 0.000000 0.067914 0.000000 9.240111
1.862325 -0.994592 0.000000 2.987549 -0.057856 0.000000 0.100007 0.000000 0.046155 0.000000 9.320946
1.995348 -0.999138 0.000000 2.996834 -0.015476 0.000000 0.042472 0.000000 0.021834 0.000000 9.443209
2.128371 -0.999973 0.000000 2.999777 -0.001027 0.000000 0.006612 0.000000 0.003267 0.000000 9.658710
2.261395 -1.000000 0.000000 3.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
