Generated trajectory:
Group: 4 
ID: 42 
Name: vertical_rev_x_rev_y_up_z_000_-1-11 
finalTime: 2.461344  
Cost: 2.763515  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: -1.000000 -1.000000 3.000000 -0.577400 -0.577400 0.577400 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.107015 -0.000016 -0.000015 2.000110 -0.000735 -0.000706 0.004184 0.002615 -0.002726 0.000000 9.925113
0.214030 -0.000456 -0.000438 2.001634 -0.009787 -0.009424 0.027475 0.014708 -0.015177 0.000000 10.105864
0.321045 -0.002657 -0.002576 2.006492 -0.033906 -0.033109 0.065263 0.028701 -0.029015 0.000000 10.221006
0.428060 -0.008237 -0.008053 2.015970 -0.072653 -0.071542 0.113283 0.040943 -0.041250 0.000000 10.308949
0.535075 -0.018641 -0.018326 2.030970 -0.123532 -0.122236 0.167865 0.050414 -0.050520 0.000000 10.363506
0.642090 -0.034988 -0.034536 2.052021 -0.183161 -0.181909 0.225917 0.056839 -0.056891 0.000000 10.390622
0.749105 -0.058042 -0.057451 2.079356 -0.248363 -0.246970 0.284897 0.060191 -0.060609 0.000000 10.392852
0.856120 -0.088238 -0.087477 2.112953 -0.316175 -0.314367 0.342627 0.061413 -0.061903 0.000000 10.373783
0.963135 -0.125711 -0.124739 2.152580 -0.383937 -0.381840 0.397328 0.060718 -0.060947 0.000000 10.337141
1.070150 -0.170310 -0.169114 2.197834 -0.448851 -0.446838 0.447586 0.057519 -0.057340 0.000000 10.285629
1.177164 -0.221574 -0.220186 2.248178 -0.508058 -0.506555 0.492319 0.051927 -0.051356 0.000000 10.223833
1.284179 -0.278764 -0.277258 2.302983 -0.559254 -0.558596 0.530817 0.044225 -0.043388 0.000000 10.154256
1.391194 -0.340909 -0.339386 2.361540 -0.600317 -0.600655 0.562350 0.034309 -0.033392 0.000000 10.078596
1.498209 -0.406825 -0.405392 2.423078 -0.629515 -0.630854 0.586494 0.022958 -0.022034 0.000000 10.002556
1.605224 -0.475189 -0.473952 2.486803 -0.645998 -0.648302 0.603219 0.011011 -0.010188 0.000000 9.929408
1.712239 -0.544648 -0.543694 2.551923 -0.650167 -0.653060 0.612628 -0.000549 0.000795 0.000000 9.861600
1.819254 -0.613960 -0.613318 2.617680 -0.643630 -0.646458 0.615244 -0.010173 0.009835 0.000000 9.803072
1.926269 -0.682132 -0.681765 2.683398 -0.629491 -0.631743 0.612097 -0.015954 0.015245 0.000000 9.757087
2.033284 -0.748564 -0.748395 2.748536 -0.611810 -0.613260 0.604706 -0.017477 0.016702 0.000000 9.726064
2.140299 -0.813107 -0.813053 2.812741 -0.594965 -0.595671 0.595062 -0.014381 0.013759 0.000000 9.716302
2.247314 -0.876084 -0.876075 2.875908 -0.583112 -0.583309 0.585657 -0.007769 0.007433 0.000000 9.725392
2.354329 -0.938170 -0.938170 2.938171 -0.578322 -0.578334 0.578772 -0.001233 0.001184 0.000000 9.769336
2.461344 -1.000000 -1.000000 3.000000 -0.577400 -0.577400 0.577400 0.000000 -0.000000 0.000000 9.806000
