Generated trajectory:
Group: 4 
ID: 6 
Name: vertical_fwd_y_up_z_000_011 
finalTime: 2.292409  
Cost: 2.576977  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 1.000000 3.000000 0.000000 0.707100 0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.134848 0.000000 0.000042 2.000220 0.000000 0.001524 0.006613 -0.004451 0.000000 0.000000 9.954961
0.269695 0.000000 0.001173 2.003238 0.000000 0.019762 0.043003 -0.023634 0.000000 0.000000 10.173709
0.404543 0.000000 0.006638 2.012733 0.000000 0.065603 0.100509 -0.042005 0.000000 0.000000 10.299353
0.539390 0.000000 0.019880 2.030960 0.000000 0.133972 0.171568 -0.055315 0.000000 0.000000 10.383794
0.674238 0.000000 0.043446 2.059326 0.000000 0.217384 0.249878 -0.063078 0.000000 0.000000 10.421414
0.809086 0.000000 0.078838 2.098443 0.000000 0.308232 0.330256 -0.066151 0.000000 0.000000 10.422028
0.943933 0.000000 0.126644 2.148293 0.000000 0.400524 0.408417 -0.065180 0.000000 0.000000 10.391317
1.078781 0.000000 0.186578 2.208339 0.000000 0.486727 0.480960 -0.058605 0.000000 0.000000 10.333425
1.213628 0.000000 0.257429 2.277614 0.000000 0.562287 0.544883 -0.051176 0.000000 0.000000 10.257376
1.348476 0.000000 0.337689 2.354831 0.000000 0.625896 0.598588 -0.042027 0.000000 0.000000 10.173923
1.483324 0.000000 0.425584 2.438559 0.000000 0.675161 0.641381 -0.031116 0.000000 0.000000 10.087613
1.618171 0.000000 0.519033 2.527305 0.000000 0.707751 0.672983 -0.017623 0.000000 0.000000 10.000406
1.753019 0.000000 0.615506 2.619556 0.000000 0.719576 0.693483 -0.002394 0.000000 0.000000 9.920614
1.887866 0.000000 0.712472 2.713902 0.000000 0.717500 0.704381 0.002729 0.000000 0.000000 9.856954
2.022714 0.000000 0.808865 2.809192 0.000000 0.711984 0.707912 0.003461 0.000000 0.000000 9.812395
2.157561 0.000000 0.904579 2.904636 0.000000 0.708268 0.707414 0.000664 0.000000 0.000000 9.800805
2.292409 0.000000 1.000000 3.000000 0.000000 0.707100 0.707100 -0.000000 0.000000 0.000000 9.806000
