Generated trajectory:
Group: 4 
ID: 9 
Name: vertical_fwd_y_down_z_000_01-1 
finalTime: 2.259423  
Cost: 2.543984  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 1.000000 1.000000 0.000000 0.707100 -0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.132907 0.000000 0.000036 1.999777 0.000000 0.001334 -0.006624 -0.004034 0.000000 0.000000 9.658316
0.265814 0.000000 0.001000 1.996830 0.000000 0.017172 -0.042565 -0.022968 0.000000 0.000000 9.442278
0.398722 0.000000 0.005845 1.987533 0.000000 0.060627 -0.100230 -0.046964 0.000000 0.000000 9.319790
0.531629 0.000000 0.018368 1.969510 0.000000 0.132140 -0.173020 -0.068451 0.000000 0.000000 9.238890
0.664536 0.000000 0.041924 1.941149 0.000000 0.225052 -0.254720 -0.082159 0.000000 0.000000 9.204912
0.797443 0.000000 0.078650 1.901676 0.000000 0.328342 -0.339280 -0.085954 0.000000 0.000000 9.207829
0.930350 0.000000 0.129162 1.851081 0.000000 0.430669 -0.421230 -0.080289 0.000000 0.000000 9.241801
1.063258 0.000000 0.192556 1.790026 0.000000 0.520381 -0.496061 -0.065940 0.000000 0.000000 9.298380
1.196165 0.000000 0.266697 1.719661 0.000000 0.592390 -0.560958 -0.051346 0.000000 0.000000 9.373868
1.329072 0.000000 0.349198 1.641449 0.000000 0.645822 -0.613908 -0.035410 0.000000 0.000000 9.460999
1.461979 0.000000 0.437532 1.557027 0.000000 0.680553 -0.654420 -0.021519 0.000000 0.000000 9.550538
1.594887 0.000000 0.529419 1.468036 0.000000 0.699955 -0.682766 -0.010975 0.000000 0.000000 9.637524
1.727794 0.000000 0.623103 1.376032 0.000000 0.708357 -0.699995 -0.004165 0.000000 0.000000 9.714846
1.860701 0.000000 0.717423 1.282380 0.000000 0.710239 -0.707942 -0.000688 0.000000 0.000000 9.775322
1.993608 0.000000 0.811772 1.188144 0.000000 0.709317 -0.709268 0.000329 0.000000 0.000000 9.814230
2.126515 0.000000 0.905958 1.093990 0.000000 0.708067 -0.707511 0.000083 0.000000 0.000000 9.817079
2.259423 0.000000 1.000000 1.000000 0.000000 0.707100 -0.707100 -0.000000 0.000000 0.000000 9.806000
