Generated trajectory:
Group: 6 
ID: 15 
Name: up_down_smooth_revy_downz_revy_upz 
finalTime: 2.102864  
Cost: 2.875039  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 -0.707100 -0.707100 
To: 0.000000 -1.000000 2.000000 0.000000 -0.707100 0.707100 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 -0.707100 -0.707100 0.000000 0.000000 0.000000 9.806000
0.100136 0.000000 -0.070745 1.929295 0.000000 -0.705115 -0.702970 -0.005063 0.000000 0.000000 9.931585
0.200273 0.000000 -0.140730 1.859906 0.000000 -0.688692 -0.679578 -0.027988 0.000000 0.000000 10.136214
0.300409 0.000000 -0.207801 1.793737 0.000000 -0.646713 -0.639532 -0.051944 0.000000 0.000000 10.293813
0.400545 0.000000 -0.269499 1.732302 0.000000 -0.582409 -0.585275 -0.069394 0.000000 0.000000 10.438101
0.500682 0.000000 -0.323963 1.676933 0.000000 -0.503845 -0.518680 -0.077508 0.000000 0.000000 10.559904
0.600818 0.000000 -0.370262 1.628789 0.000000 -0.420960 -0.441166 -0.076294 0.000000 0.000000 10.662089
0.700955 0.000000 -0.408443 1.588901 0.000000 -0.343208 -0.354045 -0.067017 0.000000 0.000000 10.743450
0.801091 0.000000 -0.439433 1.558149 0.000000 -0.278454 -0.258964 -0.051690 0.000000 0.000000 10.804234
0.901227 0.000000 -0.464837 1.537239 0.000000 -0.232423 -0.157837 -0.032226 0.000000 0.000000 10.844961
1.001364 0.000000 -0.486740 1.526665 0.000000 -0.209059 -0.052942 -0.010084 0.000000 0.000000 10.865290
1.101500 0.000000 -0.507530 1.526679 0.000000 -0.210312 0.053221 0.012745 0.000000 0.000000 10.865372
1.201636 0.000000 -0.529678 1.537279 0.000000 -0.236032 0.158066 0.034708 0.000000 0.000000 10.845111
1.301773 0.000000 -0.555552 1.558208 0.000000 -0.284205 0.259097 0.054104 0.000000 0.000000 10.804534
1.401909 0.000000 -0.587214 1.588966 0.000000 -0.350798 0.354059 0.069116 0.000000 0.000000 10.743590
1.502045 0.000000 -0.626222 1.628849 0.000000 -0.429730 0.441042 0.077814 0.000000 0.000000 10.662279
1.602182 0.000000 -0.673422 1.676977 0.000000 -0.512950 0.518497 0.078359 0.000000 0.000000 10.560375
1.702318 0.000000 -0.728776 1.732328 0.000000 -0.590901 0.585097 0.069437 0.000000 0.000000 10.438489
1.802454 0.000000 -0.791251 1.793747 0.000000 -0.653581 0.639414 0.051192 0.000000 0.000000 10.294166
1.902591 0.000000 -0.858893 1.859908 0.000000 -0.693108 0.679534 0.026609 0.000000 0.000000 10.136474
2.002727 0.000000 -0.929178 1.929296 0.000000 -0.706787 0.702966 0.004209 0.000000 0.000000 9.931691
2.102864 0.000000 -1.000000 2.000000 0.000000 -0.707100 0.707100 0.000000 0.000000 0.000000 9.806000
