Generated trajectory:
Group: 8 
ID: 14 
Name: up_short_z_025 
finalTime: 2.017132  
Cost: 2.420456  
ToFromLabel: x y z vx vy vz 
From: 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 
To: 0.000000 0.000000 2.250000 0.000000 0.000000 -0.000000 
Trajectory: 
t        x        y         z        vx       vy       vz       roll     pitch     yaw     thrust 
0.000000 0.000000 0.000000 2.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 9.806000
0.112063 0.000000 0.000000 2.000123 0.000000 0.000000 0.004474 0.000000 0.000000 0.000000 9.927574
0.224126 0.000000 0.000000 2.001813 0.000000 0.000000 0.028779 0.000000 0.000000 0.000000 10.093735
0.336189 0.000000 0.000000 2.007009 0.000000 0.000000 0.065280 0.000000 0.000000 0.000000 10.164900
0.448252 0.000000 0.000000 2.016656 0.000000 0.000000 0.107360 0.000000 0.000000 0.000000 10.189943
0.560314 0.000000 0.000000 2.031067 0.000000 0.000000 0.149421 0.000000 0.000000 0.000000 10.167440
0.672377 0.000000 0.000000 2.049972 0.000000 0.000000 0.186881 0.000000 0.000000 0.000000 10.108721
0.784440 0.000000 0.000000 2.072644 0.000000 0.000000 0.216155 0.000000 0.000000 0.000000 10.023784
0.896503 0.000000 0.000000 2.098024 0.000000 0.000000 0.234913 0.000000 0.000000 0.000000 9.921584
1.008566 0.000000 0.000000 2.124838 0.000000 0.000000 0.241523 0.000000 0.000000 0.000000 9.808605
1.120629 0.000000 0.000000 2.151675 0.000000 0.000000 0.235310 0.000000 0.000000 0.000000 9.694217
1.232692 0.000000 0.000000 2.177112 0.000000 0.000000 0.216696 0.000000 0.000000 0.000000 9.589490
1.344755 0.000000 0.000000 2.199841 0.000000 0.000000 0.187361 0.000000 0.000000 0.000000 9.503805
1.456818 0.000000 0.000000 2.218797 0.000000 0.000000 0.149848 0.000000 0.000000 0.000000 9.445314
1.568881 0.000000 0.000000 2.233252 0.000000 0.000000 0.107715 0.000000 0.000000 0.000000 9.422374
1.680943 0.000000 0.000000 2.242933 0.000000 0.000000 0.065543 0.000000 0.000000 0.000000 9.447887
1.793006 0.000000 0.000000 2.248158 0.000000 0.000000 0.029023 0.000000 0.000000 0.000000 9.519020
1.905069 0.000000 0.000000 2.249869 0.000000 0.000000 0.004609 0.000000 0.000000 0.000000 9.684405
2.017132 0.000000 0.000000 2.250000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 9.806000
